category,version_number,condition_description,items,item_original,item_new,appearance_type,whose_appearance,comp_condition,whose_comp,telo_condition,whose_telo,scenario_1,scenario_2,question,question_mask
non_living_natural_kinds,nl_2_lsun_3,lightning_to_sun_app_original_comp_changed_purpose_preserved,lightning_to_sun,lightning,sun,original,lightning,changed,sun,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t provide light and heat. Instead, it only provided a quick and easy way to create an electrical circuit. Moreover, it wasn’t made of electrons, protons and other charged particles. Instead, it was only made mostly of hydrogen and helium.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn’t made of electrons, protons and other charged particles. Instead, it was only made mostly of hydrogen and helium. Moreover, it didn’t provide light and heat. Instead, it only provided a quick and easy way to create an electrical circuit.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is
non_living_natural_kinds,nl_2_lsun_4,lightning_to_sun_app_original_comp_changed_purpose_changed,lightning_to_sun,lightning,sun,original,lightning,changed,sun,changed,sun,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only provided light and heat. Moreover, it wasn’t made of electrons, protons and other charged particles. Instead, it was only made mostly of hydrogen and helium.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn’t made of electrons, protons and other charged particles. Instead, it was only made mostly of hydrogen and helium. Moreover, it didn’t provide a quick and easy way to create an electrical circuit. Instead, it only provided light and heat.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is
non_living_natural_kinds,nl_2_lsun_5,lightning_to_sun_app_new_comp_preserved_purpose_preserved,lightning_to_sun,lightning,sun,new,sun,preserved,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure didn’t provide light and heat. Instead, it only provided a quick and easy way to create an electrical circuit. Moreover, it wasn’t made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles. ","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure wasn’t made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles. Moreover, it didn’t provide light and heat. Instead, it only provided a quick and easy way to create an electrical circuit. ",Is the thing after the special operation lightning or a sun?,The thing after the special operation is
non_living_natural_kinds,nl_2_lsun_6,lightning_to_sun_app_new_comp_preserved_purpose_changed,lightning_to_sun,lightning,sun,new,sun,preserved,lightning,changed,sun,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only provided light and heat. Moreover, it wasn’t made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure wasn’t made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles. Moreover, it didn’t provide a quick and easy way to create an electrical circuit. Instead, it only provided light and heat.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is
non_living_natural_kinds,nl_2_lsun_7,lightning_to_sun_app_new_comp_changed_purpose_preserved,lightning_to_sun,lightning,sun,new,sun,changed,sun,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure didn’t provide light and heat. Instead, it only provided a quick and easy way to create an electrical circuit. Moreover, it wasn’t made of electrons, protons and other charged particles. Instead, it was only made mostly of hydrogen and helium.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure wasn’t made of electrons, protons and other charged particles. Instead, it was only made mostly of hydrogen and helium. Moreover, it didn’t provide light and heat. Instead, it only provided a quick and easy way to create an electrical circuit.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is
non_living_natural_kinds,nl_2_lsun_8,lightning_to_sun_app_new_comp_changed_purpose_changed,lightning_to_sun,lightning,sun,new,sun,changed,sun,changed,sun,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only provided light and heat. Moreover, it wasn’t made of electrons, protons and other charged particles. Instead, it was only made mostly of hydrogen and helium.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure wasn’t made of electrons, protons and other charged particles. Instead, it was only made mostly of hydrogen and helium. Moreover, it didn’t provide a quick and easy way to create an electrical circuit. Instead, it only provided light and heat.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is
non_living_natural_kinds,nl_3_lsoil_1,lightning_to_soil_app_original_comp_preserved_purpose_preserved,lightning_to_soil,lightning,soil,original,lightning,preserved,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into soil. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t support plant growth. Instead, it only provided a quick and easy way to create an electrical circuit. Moreover, it wasn’t made of minerals, water, air, and organic matter. Instead, it was only made of electrons, protons and other charged particles. ","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into soil. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn’t made of minerals, water, air, and organic matter. Instead, it was only made of electrons, protons and other charged particles. Moreover, it didn’t support plant growth. Instead, it only provided a quick and easy way to create an electrical circuit. ",Is the thing after the special operation lightning or soil?,The thing after the special operation is
non_living_natural_kinds,nl_3_lsoil_2,lightning_to_soil_app_original_comp_preserved_purpose_changed,lightning_to_soil,lightning,soil,original,lightning,preserved,lightning,changed,soil,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into soil. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only supported plant growth. Moreover, it wasn’t made of minerals, water, air, and organic matter. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into soil. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn’t made of minerals, water, air, and organic matter. Instead, it was only made of electrons, protons and other charged particles. Moreover, it didn’t provide a quick and easy way to create an electrical circuit. Instead, it only supported plant growth.",Is the thing after the special operation lightning or soil?,The thing after the special operation is
non_living_natural_kinds,nl_3_lsoil_3,lightning_to_soil_app_original_comp_changed_purpose_preserved,lightning_to_soil,lightning,soil,original,lightning,changed,soil,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into soil. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t support plant growth. Instead, it only provided a quick and easy way to create an electrical circuit. Moreover, it wasn’t made of electrons, protons and other charged particles. Instead, it was only made of minerals, water, air, and organic matter.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into soil. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn’t made of electrons, protons and other charged particles. Instead, it was only made of minerals, water, air, and organic matter. Moreover, it didn’t support plant growth. Instead, it only provided a quick and easy way to create an electrical circuit.",Is the thing after the special operation lightning or soil?,The thing after the special operation is
non_living_natural_kinds,nl_3_lsoil_4,lightning_to_soil_app_original_comp_changed_purpose_changed,lightning_to_soil,lightning,soil,original,lightning,changed,soil,changed,soil,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into soil. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only supported plant growth. Moreover, it wasn’t made of electrons, protons and other charged particles. Instead, it was only made of minerals, water, air, and organic matter.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into soil. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn’t made of electrons, protons and other charged particles. Instead, it was only made of minerals, water, air, and organic matter. Moreover, it didn’t provide a quick and easy way to create an electrical circuit. Instead, it only supported plant growth.",Is the thing after the special operation lightning or soil?,The thing after the special operation is
non_living_natural_kinds,nl_3_lsoil_5,lightning_to_soil_app_new_comp_preserved_purpose_preserved,lightning_to_soil,lightning,soil,new,soil,preserved,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into soil. After the special procedure, the thing looked like soil. After running some tests, they found that the thing after the special procedure didn’t support plant growth. Instead, it only provided a quick and easy way to create an electrical circuit. Moreover, it wasn’t made of minerals, water, air, and organic matter. Instead, it was only made of electrons, protons and other charged particles. ","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into soil. After the special procedure, the thing looked like soil. After running some tests, they found that the thing after the special procedure wasn’t made of minerals, water, air, and organic matter. Instead, it was only made of electrons, protons and other charged particles. Moreover, it didn’t support plant growth. Instead, it only provided a quick and easy way to create an electrical circuit. ",Is the thing after the special operation lightning or soil?,The thing after the special operation is
non_living_natural_kinds,nl_3_lsoil_6,lightning_to_soil_app_new_comp_preserved_purpose_changed,lightning_to_soil,lightning,soil,new,soil,preserved,lightning,changed,soil,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into soil. After the special procedure, the thing looked like soil. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only supported plant growth. Moreover, it wasn’t made of minerals, water, air, and organic matter. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into soil. After the special procedure, the thing looked like soil. After running some tests, they found that the thing after the special procedure wasn’t made of minerals, water, air, and organic matter. Instead, it was only made of electrons, protons and other charged particles. Moreover, it didn’t provide a quick and easy way to create an electrical circuit. Instead, it only supported plant growth.",Is the thing after the special operation lightning or soil?,The thing after the special operation is
non_living_natural_kinds,nl_3_lsoil_7,lightning_to_soil_app_new_comp_changed_purpose_preserved,lightning_to_soil,lightning,soil,new,soil,changed,soil,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into soil. After the special procedure, the thing looked like soil. After running some tests, they found that the thing after the special procedure didn’t support plant growth. Instead, it only provided a quick and easy way to create an electrical circuit. Moreover, it wasn’t made of electrons, protons and other charged particles. Instead, it was only made of minerals, water, air, and organic matter.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into soil. After the special procedure, the thing looked like soil. After running some tests, they found that the thing after the special procedure wasn’t made of electrons, protons and other charged particles. Instead, it was only made of minerals, water, air, and organic matter. Moreover, it didn’t support plant growth. Instead, it only provided a quick and easy way to create an electrical circuit.",Is the thing after the special operation lightning or soil?,The thing after the special operation is
non_living_natural_kinds,nl_3_lsoil_8,lightning_to_soil_app_new_comp_changed_purpose_changed,lightning_to_soil,lightning,soil,new,soil,changed,soil,changed,soil,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into soil. After the special procedure, the thing looked like soil. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only supported plant growth. Moreover, it wasn’t made of electrons, protons and other charged particles. Instead, it was only made of minerals, water, air, and organic matter.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into soil. After the special procedure, the thing looked like soil. After running some tests, they found that the thing after the special procedure wasn’t made of electrons, protons and other charged particles. Instead, it was only made of minerals, water, air, and organic matter. Moreover, it didn’t provide a quick and easy way to create an electrical circuit. Instead, it only supported plant growth.",Is the thing after the special operation lightning or soil?,The thing after the special operation is
non_living_natural_kinds,nl_4_cl_1,cloud_to_lightning_app_original_comp_preserved_purpose_preserved,cloud_to_lightning,cloud,lightning,original,cloud,preserved,cloud,preserved,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation. Moreover, it wasn’t made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure wasn’t made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals. Moreover, it didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation.",Is the thing after the special operation cloud or lightning?,The thing after the special operation is
non_living_natural_kinds,nl_4_cl_2,cloud_to_lightning_app_original_comp_preserved_purpose_changed,cloud_to_lightning,cloud,lightning,original,cloud,preserved,cloud,changed,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit. Moreover, it wasn’t made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure wasn’t made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals. Moreover, it didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit.",Is the thing after the special operation cloud or lightning?,The thing after the special operation is
non_living_natural_kinds,nl_4_cl_3,cloud_to_lightning_app_original_comp_changed_purpose_preserved,cloud_to_lightning,cloud,lightning,original,cloud,changed,lightning,preserved,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation. Moreover, it wasn’t made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure wasn’t made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. Moreover, it didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation.",Is the thing after the special operation cloud or lightning?,The thing after the special operation is
non_living_natural_kinds,nl_4_cl_4,cloud_to_lightning_app_original_comp_changed_purpose_changed,cloud_to_lightning,cloud,lightning,original,cloud,changed,lightning,changed,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit. Moreover, it wasn’t made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure wasn’t made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. Moreover, it didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit.",Is the thing after the special operation cloud or lightning?,The thing after the special operation is
non_living_natural_kinds,nl_4_cl_5,cloud_to_lightning_app_new_comp_preserved_purpose_preserved,cloud_to_lightning,cloud,lightning,new,lightning,preserved,cloud,preserved,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation. Moreover, it wasn’t made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn’t made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals. Moreover, it didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation.",Is the thing after the special operation cloud or lightning?,The thing after the special operation is
non_living_natural_kinds,nl_4_cl_6,cloud_to_lightning_app_new_comp_preserved_purpose_changed,cloud_to_lightning,cloud,lightning,new,lightning,preserved,cloud,changed,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit. Moreover, it wasn’t made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn’t made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals. Moreover, it didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit.",Is the thing after the special operation cloud or lightning?,The thing after the special operation is
non_living_natural_kinds,nl_4_cl_7,cloud_to_lightning_app_new_comp_changed_purpose_preserved,cloud_to_lightning,cloud,lightning,new,lightning,changed,lightning,preserved,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation. Moreover, it wasn’t made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn’t made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. Moreover, it didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation.",Is the thing after the special operation cloud or lightning?,The thing after the special operation is
