,category,version_number,rep_id,condition_description,items,item_original,item_new,appearance_type,whose_appearance,comp_condition,whose_comp,scenario_1,scenario_2,question,question_mask,bloom_response_question_1,bloom_response_question_2
2,non_living_natural_kinds,nl_1_lc_3,3,lightning_to_cloud_app_new_comp_preserved,lightning_to_cloud,lightning,cloud,new,cloud,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like lightning. ",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,"lightning, because the thing",a cloud because it is
2,non_living_natural_kinds,nl_1_lc_3,4,lightning_to_cloud_app_new_comp_preserved,lightning_to_cloud,lightning,cloud,new,cloud,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like lightning. ",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,"lightning, but I am",cloud because it is made
2,non_living_natural_kinds,nl_1_lc_3,5,lightning_to_cloud_app_new_comp_preserved,lightning_to_cloud,lightning,cloud,new,cloud,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like lightning. ",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,lightning. I think that,"lightning, because it is"
3,non_living_natural_kinds,nl_1_lc_4,1,lightning_to_cloud_app_new_comp_changed,lightning_to_cloud,lightning,cloud,new,cloud,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,"a cloud. Because,",a cloud. This is
3,non_living_natural_kinds,nl_1_lc_4,2,lightning_to_cloud_app_new_comp_changed,lightning_to_cloud,lightning,cloud,new,cloud,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,lightning because it is still,a cloud because it is
3,non_living_natural_kinds,nl_1_lc_4,3,lightning_to_cloud_app_new_comp_changed,lightning_to_cloud,lightning,cloud,new,cloud,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,"lightning because:

A",lightning. The thing after
3,non_living_natural_kinds,nl_1_lc_4,4,lightning_to_cloud_app_new_comp_changed,lightning_to_cloud,lightning,cloud,new,cloud,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,"a cloud.
In my","lightning. Because, it"
3,non_living_natural_kinds,nl_1_lc_4,5,lightning_to_cloud_app_new_comp_changed,lightning_to_cloud,lightning,cloud,new,cloud,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,a cloud. Because:,"lightning, because lightning is"
4,non_living_natural_kinds,nl_2_lsun_1,1,lightning_to_sun_app_original_comp_preserved,lightning_to_sun,lightning,sun,original,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,a sun. The thing,lightning because it is made
4,non_living_natural_kinds,nl_2_lsun_1,2,lightning_to_sun_app_original_comp_preserved,lightning_to_sun,lightning,sun,original,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,a sun because the thing,still lightning. The reason
4,non_living_natural_kinds,nl_2_lsun_1,3,lightning_to_sun_app_original_comp_preserved,lightning_to_sun,lightning,sun,original,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,a sun because it is,lightning. For one thing
4,non_living_natural_kinds,nl_2_lsun_1,4,lightning_to_sun_app_original_comp_preserved,lightning_to_sun,lightning,sun,original,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,neither a sun nor lightning,a sun. Because it
4,non_living_natural_kinds,nl_2_lsun_1,5,lightning_to_sun_app_original_comp_preserved,lightning_to_sun,lightning,sun,original,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,not lightning. It is,a sun. I think
5,non_living_natural_kinds,nl_2_lsun_2,1,lightning_to_sun_app_original_comp_changed,lightning_to_sun,lightning,sun,original,lightning,changed,sun,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,a sun because the special,a sun. The reason
5,non_living_natural_kinds,nl_2_lsun_2,2,lightning_to_sun_app_original_comp_changed,lightning_to_sun,lightning,sun,original,lightning,changed,sun,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,sun because it is made,a sun. They are
5,non_living_natural_kinds,nl_2_lsun_2,3,lightning_to_sun_app_original_comp_changed,lightning_to_sun,lightning,sun,original,lightning,changed,sun,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,"not lightning, because the",a sun. In fact
5,non_living_natural_kinds,nl_2_lsun_2,4,lightning_to_sun_app_original_comp_changed,lightning_to_sun,lightning,sun,original,lightning,changed,sun,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,a sun because it is,a sun. This is
5,non_living_natural_kinds,nl_2_lsun_2,5,lightning_to_sun_app_original_comp_changed,lightning_to_sun,lightning,sun,original,lightning,changed,sun,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,a sun because it has,"a sun, because a"
6,non_living_natural_kinds,nl_2_lsun_3,1,lightning_to_sun_app_new_comp_preserved,lightning_to_sun,lightning,sun,new,sun,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like a sun.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,a sun. I think,a sun because the thing
6,non_living_natural_kinds,nl_2_lsun_3,2,lightning_to_sun_app_new_comp_preserved,lightning_to_sun,lightning,sun,new,sun,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like a sun.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,"lightning.
I think the","a sun, because the"
6,non_living_natural_kinds,nl_2_lsun_3,3,lightning_to_sun_app_new_comp_preserved,lightning_to_sun,lightning,sun,new,sun,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like a sun.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,a sun. It is,"a sun, because it"
6,non_living_natural_kinds,nl_2_lsun_3,4,lightning_to_sun_app_new_comp_preserved,lightning_to_sun,lightning,sun,new,sun,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like a sun.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,a sun. The thing,lightning. Because:
6,non_living_natural_kinds,nl_2_lsun_3,5,lightning_to_sun_app_new_comp_preserved,lightning_to_sun,lightning,sun,new,sun,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like a sun.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,"a sun, because the",lightning. The thing after
7,non_living_natural_kinds,nl_2_lsun_4,1,lightning_to_sun_app_new_comp_changed,lightning_to_sun,lightning,sun,new,sun,changed,sun,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium. After the special procedure, the thing looked like a sun.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,a sun. The reason,"a sun, because the"
7,non_living_natural_kinds,nl_2_lsun_4,2,lightning_to_sun_app_new_comp_changed,lightning_to_sun,lightning,sun,new,sun,changed,sun,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium. After the special procedure, the thing looked like a sun.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,a sun. Because it,neither a sun nor lightning
7,non_living_natural_kinds,nl_2_lsun_4,3,lightning_to_sun_app_new_comp_changed,lightning_to_sun,lightning,sun,new,sun,changed,sun,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium. After the special procedure, the thing looked like a sun.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,a sun because it em,a sun. If it
7,non_living_natural_kinds,nl_2_lsun_4,4,lightning_to_sun_app_new_comp_changed,lightning_to_sun,lightning,sun,new,sun,changed,sun,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium. After the special procedure, the thing looked like a sun.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,"a sun. First,",lightning. Because the thing
