category,version_number,rep_id,condition_description,items,item_original,item_new,appearance_type,whose_appearance,comp_condition,whose_comp,scenario_1,scenario_2,question,question_mask,gpt3_response_scenario_1,gpt3_response_scenario_2
non_living_natural_kinds,nl_1_lc_3,1,lightning_to_cloud_app_new_comp_preserved,lightning_to_cloud,lightning,cloud,new,cloud,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like lightning. ",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,"The thing after the special procedure is not a cloud, but it is lightning.","The thing after the special procedure is not a cloud, but it is still considered lightning."
non_living_natural_kinds,nl_1_lc_3,2,lightning_to_cloud_app_new_comp_preserved,lightning_to_cloud,lightning,cloud,new,cloud,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like lightning. ",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,"While the thing may resemble lightning, it is not technically classified as such because it is not made of the same meteorological materials. Therefore, it would be classified as a cloud.","The thing after the operation is not a cloud because it only consists of charged particles. It is, however, still considered to be lightning."
non_living_natural_kinds,nl_1_lc_3,3,lightning_to_cloud_app_new_comp_preserved,lightning_to_cloud,lightning,cloud,new,cloud,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like lightning. ",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,"Lightning is a discharge of electricity in the atmosphere, while a cloud is a collection of water droplets or ice crystals.","The thing after the special operation is definitely not a cloud. It may resemble lightning, but it is not made up of the same materials."
non_living_natural_kinds,nl_1_lc_3,4,lightning_to_cloud_app_new_comp_preserved,lightning_to_cloud,lightning,cloud,new,cloud,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like lightning. ",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,It is arguable whether the thing after the special operation is lightning or a cloud. It depends on how you define each term.,"The thing after the special operation is not a cloud, but it is lightning."
non_living_natural_kinds,nl_1_lc_3,5,lightning_to_cloud_app_new_comp_preserved,lightning_to_cloud,lightning,cloud,new,cloud,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like lightning. ",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,"The thing after the special operation is not lightning or a cloud. It is only made of electrons, protons and other charged particles.",The thing after theoperation is lightning.
non_living_natural_kinds,nl_1_lc_4,1,lightning_to_cloud_app_new_comp_changed,lightning_to_cloud,lightning,cloud,new,cloud,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,The thing after the special operation is a cloud.,The thing after the special operation is most likely a cloud.
non_living_natural_kinds,nl_1_lc_4,2,lightning_to_cloud_app_new_comp_changed,lightning_to_cloud,lightning,cloud,new,cloud,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,The thing after the special operation is a cloud.,The answer is that the thing after the special operation is a cloud.
non_living_natural_kinds,nl_1_lc_4,3,lightning_to_cloud_app_new_comp_changed,lightning_to_cloud,lightning,cloud,new,cloud,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,The thing after the special operation is a cloud.,"Most likely, the thing after the special operation is a cloud."
non_living_natural_kinds,nl_1_lc_4,4,lightning_to_cloud_app_new_comp_changed,lightning_to_cloud,lightning,cloud,new,cloud,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,It is a cloud.,The thing after the operation is a cloud.
non_living_natural_kinds,nl_1_lc_4,5,lightning_to_cloud_app_new_comp_changed,lightning_to_cloud,lightning,cloud,new,cloud,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,The thing after the special operation is a cloud.,The thing after the special procedure is a cloud.
non_living_natural_kinds,nl_2_lsun_1,1,lightning_to_sun_app_original_comp_preserved,lightning_to_sun,lightning,sun,original,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,The thing after the special operation is not lightning or a sun.,The thing after the special operation is lightning.
non_living_natural_kinds,nl_2_lsun_1,2,lightning_to_sun_app_original_comp_preserved,lightning_to_sun,lightning,sun,original,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,"It is not clear what the thing after the special operation is. It may be a sun, or it may be lightning.",The thing after the special operation is a sun.
non_living_natural_kinds,nl_2_lsun_1,3,lightning_to_sun_app_original_comp_preserved,lightning_to_sun,lightning,sun,original,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,The thing after the special operation is neither lightning nor a sun.,"The thing is not a sun, it is only lightning."
non_living_natural_kinds,nl_2_lsun_1,4,lightning_to_sun_app_original_comp_preserved,lightning_to_sun,lightning,sun,original,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,"The thing after the operation is not lightning, it is a sun.",The thing after the special operation is lightning.
non_living_natural_kinds,nl_2_lsun_1,5,lightning_to_sun_app_original_comp_preserved,lightning_to_sun,lightning,sun,original,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,The thing after the special procedure is lightning.,The thing after the special operation is not lightning or a sun. It is only made of charged particles and does not have the characteristics of either lightning or a sun.
non_living_natural_kinds,nl_2_lsun_2,1,lightning_to_sun_app_original_comp_changed,lightning_to_sun,lightning,sun,original,lightning,changed,sun,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,The thing after the special procedure is a sun.,The thing after the special operation is a sun.
non_living_natural_kinds,nl_2_lsun_2,2,lightning_to_sun_app_original_comp_changed,lightning_to_sun,lightning,sun,original,lightning,changed,sun,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,It is not possible to determine what the thing is after the special operation because the information given is not enough.,The thing after the special operation is a sun.
non_living_natural_kinds,nl_2_lsun_2,3,lightning_to_sun_app_original_comp_changed,lightning_to_sun,lightning,sun,original,lightning,changed,sun,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,The thing after the special procedure is a sun.,The thing after the special operation is a sun.
non_living_natural_kinds,nl_2_lsun_2,4,lightning_to_sun_app_original_comp_changed,lightning_to_sun,lightning,sun,original,lightning,changed,sun,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,The thing after the special operation is not lightning. It is a sun.,It is not possible to say for certain what the thing is after the special operation. It depends on how the operation is performed and what the thing is made of.
non_living_natural_kinds,nl_2_lsun_2,5,lightning_to_sun_app_original_comp_changed,lightning_to_sun,lightning,sun,original,lightning,changed,sun,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,It is a sun.,"It is not possible to say for sure without further information. If the thing after the special operation has the same properties as lightning, then it is probably still lightning. If the thing after the special operation has the same properties as a sun,"
non_living_natural_kinds,nl_2_lsun_3,1,lightning_to_sun_app_new_comp_preserved,lightning_to_sun,lightning,sun,new,sun,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like a sun.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,"The thing after the special operation is not a sun, but it is still technically lightning.",The thing after the special operation is a sun.
non_living_natural_kinds,nl_2_lsun_3,2,lightning_to_sun_app_new_comp_preserved,lightning_to_sun,lightning,sun,new,sun,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like a sun.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,The thing after the special operation is lightning.,The thing after the special operation is a sun.
non_living_natural_kinds,nl_2_lsun_3,3,lightning_to_sun_app_new_comp_preserved,lightning_to_sun,lightning,sun,new,sun,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like a sun.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,The thing after the special operation is a sun.,The thing after the special procedure is not lightning or a sun.
non_living_natural_kinds,nl_2_lsun_3,4,lightning_to_sun_app_new_comp_preserved,lightning_to_sun,lightning,sun,new,sun,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like a sun.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,The thing after the special operation would be considered lightning since it is not made up of mostly hydrogen and helium.,The thing after the special operation is a sun.
non_living_natural_kinds,nl_2_lsun_3,5,lightning_to_sun_app_new_comp_preserved,lightning_to_sun,lightning,sun,new,sun,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like a sun.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,The thing after the special procedure is not a sun.,"There is no right answer to this question because it is not clear what the definition of a sun is. If the definition of a sun is a star that is made mostly of hydrogen and helium, then the thing after the special operation is not"
non_living_natural_kinds,nl_2_lsun_4,1,lightning_to_sun_app_new_comp_changed,lightning_to_sun,lightning,sun,new,sun,changed,sun,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium. After the special procedure, the thing looked like a sun.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,There is no correct answer to this question because it is not possible to turn lightning into a sun.,The thing after the special operation is a sun.
