,category,version_number,rep_id,condition_description,items,item_original,item_new,appearance_type,whose_appearance,comp_condition,whose_comp,scenario_1,scenario_2,question,question_mask,bloom_response_scenario_1,bloom_response_scenario_1_retrieved,bloom_response_scenario_2,bloom_response_scenario_2_retrieved
5,non_living_natural_kinds,nl_2_lsun_2,4,lightning_to_sun_app_original_comp_changed,lightning_to_sun,lightning,sun,original,lightning,changed,sun,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,a sun because it is,sun,a sun. This is,sun
5,non_living_natural_kinds,nl_2_lsun_2,5,lightning_to_sun_app_original_comp_changed,lightning_to_sun,lightning,sun,original,lightning,changed,sun,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,a sun because it has,sun,"a sun, because a",sun
6,non_living_natural_kinds,nl_2_lsun_3,1,lightning_to_sun_app_new_comp_preserved,lightning_to_sun,lightning,sun,new,sun,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like a sun.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,a sun. I think,sun,a sun because the thing,sun
6,non_living_natural_kinds,nl_2_lsun_3,2,lightning_to_sun_app_new_comp_preserved,lightning_to_sun,lightning,sun,new,sun,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like a sun.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,"lightning.
I think the",lightning,"a sun, because the",sun
6,non_living_natural_kinds,nl_2_lsun_3,3,lightning_to_sun_app_new_comp_preserved,lightning_to_sun,lightning,sun,new,sun,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like a sun.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,a sun. It is,sun,"a sun, because it",sun
6,non_living_natural_kinds,nl_2_lsun_3,4,lightning_to_sun_app_new_comp_preserved,lightning_to_sun,lightning,sun,new,sun,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like a sun.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,a sun. The thing,sun,lightning. Because:,lightning
6,non_living_natural_kinds,nl_2_lsun_3,5,lightning_to_sun_app_new_comp_preserved,lightning_to_sun,lightning,sun,new,sun,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like a sun.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,"a sun, because the",sun,lightning. The thing after,lightning
7,non_living_natural_kinds,nl_2_lsun_4,1,lightning_to_sun_app_new_comp_changed,lightning_to_sun,lightning,sun,new,sun,changed,sun,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium. After the special procedure, the thing looked like a sun.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,a sun. The reason,sun,"a sun, because the",sun
7,non_living_natural_kinds,nl_2_lsun_4,2,lightning_to_sun_app_new_comp_changed,lightning_to_sun,lightning,sun,new,sun,changed,sun,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium. After the special procedure, the thing looked like a sun.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,a sun. Because it,sun,neither a sun nor lightning,unsure
7,non_living_natural_kinds,nl_2_lsun_4,3,lightning_to_sun_app_new_comp_changed,lightning_to_sun,lightning,sun,new,sun,changed,sun,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium. After the special procedure, the thing looked like a sun.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,a sun because it em,sun,a sun. If it,sun
