paper,study ,rep_id,type,type_category,stat_test_original,stat_test_new,is_natural_kind,condition,scenario_1,question_1_1_type,question_1_1_text,question_1_1_mask,question_1_2_type,question_1_2_text,question_1_2_mask,question_1_3_type,question_1_3_text,question_1_3_mask,question_1_4_type,question_1_4_text,question_1_4_mask,question_1_5_type,question_1_5_text,question_1_5_mask,question_1_6_type,question_1_6_text,question_1_6_mask,scenario_2,question_2_1_type,question_2_1_text,Unnamed: 30,hypotheses,gpt3_response_question_1_1,gpt3_response_question_1_2
gelman_wellman_1991,3,11,nature_nurture,environment,"2*(condition: category control, upbringing control) x 2*(question type: behavior, physical feature) ANOVA",glm(response ~ condition type*question type),True,cow_raised_by_pig,"There is a cow named Edith. Right after Edith was born, when she was just a tiny baby cow, she was taken to a farm that had pigs - lots of pigs. The pigs took care of Edith. Edith grew up on the farm with all the pigs, and she never saw another cow.",categorization,"When Edith gets to be a grown-up, what did her tail look like: was it straight or was it curly?","When Edith gets to be a grown-up, her tail will be",,"Would Edith say ""moo"" or say ""oink""?","Between ""moo"" and ""oink"", Edith will say",,,,,,,,,,,,,,,,,Members of a category share something like an innate or intrinsic potential that will be realized even when an animal is reared by members of a different species. There will be higher curly tail ratings.,"Since Edith was raised on a farm with pigs, her tail would likely be curly.","Edith would probably say ""oink"" since she was raised around pigs."
gelman_wellman_1991,3,12,nature_nurture,environment,"2*(condition: category control, upbringing control) x 2*(question type: behavior, physical feature) ANOVA",glm(response ~ condition type*question type),True,cow_raised_by_pig,"There is a cow named Edith. Right after Edith was born, when she was just a tiny baby cow, she was taken to a farm that had pigs - lots of pigs. The pigs took care of Edith. Edith grew up on the farm with all the pigs, and she never saw another cow.",categorization,"When Edith gets to be a grown-up, what did her tail look like: was it straight or was it curly?","When Edith gets to be a grown-up, her tail will be",,"Would Edith say ""moo"" or say ""oink""?","Between ""moo"" and ""oink"", Edith will say",,,,,,,,,,,,,,,,,Members of a category share something like an innate or intrinsic potential that will be realized even when an animal is reared by members of a different species. There will be higher curly tail ratings.,Edith's tail would be curly because she was raised by pigs.,"Edith would say ""oink"" because she was raised by pigs."
gelman_wellman_1991,3,13,nature_nurture,environment,"2*(condition: category control, upbringing control) x 2*(question type: behavior, physical feature) ANOVA",glm(response ~ condition type*question type),True,cow_raised_by_pig,"There is a cow named Edith. Right after Edith was born, when she was just a tiny baby cow, she was taken to a farm that had pigs - lots of pigs. The pigs took care of Edith. Edith grew up on the farm with all the pigs, and she never saw another cow.",categorization,"When Edith gets to be a grown-up, what did her tail look like: was it straight or was it curly?","When Edith gets to be a grown-up, her tail will be",,"Would Edith say ""moo"" or say ""oink""?","Between ""moo"" and ""oink"", Edith will say",,,,,,,,,,,,,,,,,Members of a category share something like an innate or intrinsic potential that will be realized even when an animal is reared by members of a different species. There will be higher curly tail ratings.,Edith's tail would be curly because she was raised by pigs.,"Edith would say ""oink"" because she was raised by pigs."
gelman_wellman_1991,3,14,nature_nurture,environment,"2*(condition: category control, upbringing control) x 2*(question type: behavior, physical feature) ANOVA",glm(response ~ condition type*question type),True,cow_raised_by_pig,"There is a cow named Edith. Right after Edith was born, when she was just a tiny baby cow, she was taken to a farm that had pigs - lots of pigs. The pigs took care of Edith. Edith grew up on the farm with all the pigs, and she never saw another cow.",categorization,"When Edith gets to be a grown-up, what did her tail look like: was it straight or was it curly?","When Edith gets to be a grown-up, her tail will be",,"Would Edith say ""moo"" or say ""oink""?","Between ""moo"" and ""oink"", Edith will say",,,,,,,,,,,,,,,,,Members of a category share something like an innate or intrinsic potential that will be realized even when an animal is reared by members of a different species. There will be higher curly tail ratings.,Edith's tail would be curly because she grew up with pigs.,"Edith would say ""oink"" because she grew up with pigs."
gelman_wellman_1991,3,15,nature_nurture,environment,"2*(condition: category control, upbringing control) x 2*(question type: behavior, physical feature) ANOVA",glm(response ~ condition type*question type),True,cow_raised_by_pig,"There is a cow named Edith. Right after Edith was born, when she was just a tiny baby cow, she was taken to a farm that had pigs - lots of pigs. The pigs took care of Edith. Edith grew up on the farm with all the pigs, and she never saw another cow.",categorization,"When Edith gets to be a grown-up, what did her tail look like: was it straight or was it curly?","When Edith gets to be a grown-up, her tail will be",,"Would Edith say ""moo"" or say ""oink""?","Between ""moo"" and ""oink"", Edith will say",,,,,,,,,,,,,,,,,Members of a category share something like an innate or intrinsic potential that will be realized even when an animal is reared by members of a different species. There will be higher curly tail ratings.,"Edith's tail would likely be straight, as she would have inherited structure and genetics from her cow ancestors. However, since she was raised by pigs, she may have some characteristics that are more similar to pigs than cows.","Although Edith would likely say ""moo"" because she is a cow, she may oink because she was raised by pigs and would have picked up some of their characteristics."
gelman_wellman_1991,3,16,nature_nurture,environment,"2*(condition: category control, upbringing control) x 2*(question type: behavior, physical feature) ANOVA",glm(response ~ condition type*question type),True,cow_raised_by_pig,"There is a cow named Edith. Right after Edith was born, when she was just a tiny baby cow, she was taken to a farm that had pigs - lots of pigs. The pigs took care of Edith. Edith grew up on the farm with all the pigs, and she never saw another cow.",categorization,"When Edith gets to be a grown-up, what did her tail look like: was it straight or was it curly?","When Edith gets to be a grown-up, her tail will be",,"Would Edith say ""moo"" or say ""oink""?","Between ""moo"" and ""oink"", Edith will say",,,,,,,,,,,,,,,,,Members of a category share something like an innate or intrinsic potential that will be realized even when an animal is reared by members of a different species. There will be higher curly tail ratings.,Edith's tail would look curly because she grew up with pigs.,"Edith would say ""oink"" because she grew up with pigs."
gelman_wellman_1991,3,17,nature_nurture,environment,"2*(condition: category control, upbringing control) x 2*(question type: behavior, physical feature) ANOVA",glm(response ~ condition type*question type),True,cow_raised_by_pig,"There is a cow named Edith. Right after Edith was born, when she was just a tiny baby cow, she was taken to a farm that had pigs - lots of pigs. The pigs took care of Edith. Edith grew up on the farm with all the pigs, and she never saw another cow.",categorization,"When Edith gets to be a grown-up, what did her tail look like: was it straight or was it curly?","When Edith gets to be a grown-up, her tail will be",,"Would Edith say ""moo"" or say ""oink""?","Between ""moo"" and ""oink"", Edith will say",,,,,,,,,,,,,,,,,Members of a category share something like an innate or intrinsic potential that will be realized even when an animal is reared by members of a different species. There will be higher curly tail ratings.,"Since Edith was raised by pigs, her tail would likely be curly.","Since Edith was raised by pigs, she would likely say ""oink""."
gelman_wellman_1991,3,18,nature_nurture,environment,"2*(condition: category control, upbringing control) x 2*(question type: behavior, physical feature) ANOVA",glm(response ~ condition type*question type),True,cow_raised_by_pig,"There is a cow named Edith. Right after Edith was born, when she was just a tiny baby cow, she was taken to a farm that had pigs - lots of pigs. The pigs took care of Edith. Edith grew up on the farm with all the pigs, and she never saw another cow.",categorization,"When Edith gets to be a grown-up, what did her tail look like: was it straight or was it curly?","When Edith gets to be a grown-up, her tail will be",,"Would Edith say ""moo"" or say ""oink""?","Between ""moo"" and ""oink"", Edith will say",,,,,,,,,,,,,,,,,Members of a category share something like an innate or intrinsic potential that will be realized even when an animal is reared by members of a different species. There will be higher curly tail ratings.,"Edith's tail would be curly, since she grew up around pigs.","Edith would say ""oink"", since she grew up around pigs."
gelman_wellman_1991,3,19,nature_nurture,environment,"2*(condition: category control, upbringing control) x 2*(question type: behavior, physical feature) ANOVA",glm(response ~ condition type*question type),True,cow_raised_by_pig,"There is a cow named Edith. Right after Edith was born, when she was just a tiny baby cow, she was taken to a farm that had pigs - lots of pigs. The pigs took care of Edith. Edith grew up on the farm with all the pigs, and she never saw another cow.",categorization,"When Edith gets to be a grown-up, what did her tail look like: was it straight or was it curly?","When Edith gets to be a grown-up, her tail will be",,"Would Edith say ""moo"" or say ""oink""?","Between ""moo"" and ""oink"", Edith will say",,,,,,,,,,,,,,,,,Members of a category share something like an innate or intrinsic potential that will be realized even when an animal is reared by members of a different species. There will be higher curly tail ratings.,"Since Edith grew up on a farm with pigs, her tail would most likely be straight.","Edith would say ""oink"" because she grew up on a farm with pigs and would have picked up their mannerisms."
gelman_wellman_1991,3,20,nature_nurture,environment,"2*(condition: category control, upbringing control) x 2*(question type: behavior, physical feature) ANOVA",glm(response ~ condition type*question type),True,cow_raised_by_pig,"There is a cow named Edith. Right after Edith was born, when she was just a tiny baby cow, she was taken to a farm that had pigs - lots of pigs. The pigs took care of Edith. Edith grew up on the farm with all the pigs, and she never saw another cow.",categorization,"When Edith gets to be a grown-up, what did her tail look like: was it straight or was it curly?","When Edith gets to be a grown-up, her tail will be",,"Would Edith say ""moo"" or say ""oink""?","Between ""moo"" and ""oink"", Edith will say",,,,,,,,,,,,,,,,,Members of a category share something like an innate or intrinsic potential that will be realized even when an animal is reared by members of a different species. There will be higher curly tail ratings.,"Edith's tail would be curly because she grew up with pigs. Pigs have curly tails, so Edith would have a curly tail too.","Since Edith grew up on a farm with pigs, she would probably say ""oink"" instead of ""moo."""
gelman_wellman_1991,3,21,nature_nurture,environment,"2*(condition: category control, upbringing control) x 2*(question type: behavior, physical feature) ANOVA",glm(response ~ condition type*question type),True,cow_raised_by_pig,"There is a cow named Edith. Right after Edith was born, when she was just a tiny baby cow, she was taken to a farm that had pigs - lots of pigs. The pigs took care of Edith. Edith grew up on the farm with all the pigs, and she never saw another cow.",categorization,"When Edith gets to be a grown-up, what did her tail look like: was it straight or was it curly?","When Edith gets to be a grown-up, her tail will be",,"Would Edith say ""moo"" or say ""oink""?","Between ""moo"" and ""oink"", Edith will say",,,,,,,,,,,,,,,,,Members of a category share something like an innate or intrinsic potential that will be realized even when an animal is reared by members of a different species. There will be higher curly tail ratings.,"Because Edith was raised on a farm with pigs, her tail would likely be curly.","Edith would say ""oink"" because she was raised on a farm with pigs."
gelman_wellman_1991,3,22,nature_nurture,environment,"2*(condition: category control, upbringing control) x 2*(question type: behavior, physical feature) ANOVA",glm(response ~ condition type*question type),True,cow_raised_by_pig,"There is a cow named Edith. Right after Edith was born, when she was just a tiny baby cow, she was taken to a farm that had pigs - lots of pigs. The pigs took care of Edith. Edith grew up on the farm with all the pigs, and she never saw another cow.",categorization,"When Edith gets to be a grown-up, what did her tail look like: was it straight or was it curly?","When Edith gets to be a grown-up, her tail will be",,"Would Edith say ""moo"" or say ""oink""?","Between ""moo"" and ""oink"", Edith will say",,,,,,,,,,,,,,,,,Members of a category share something like an innate or intrinsic potential that will be realized even when an animal is reared by members of a different species. There will be higher curly tail ratings.,"Edith's tail would look curly, since she was raised around pigs who have curly tails.","Edith would say ""oink,"" since she was raised around pigs and would have picked up their mannerisms."
gelman_wellman_1991,3,23,nature_nurture,environment,"2*(condition: category control, upbringing control) x 2*(question type: behavior, physical feature) ANOVA",glm(response ~ condition type*question type),True,cow_raised_by_pig,"There is a cow named Edith. Right after Edith was born, when she was just a tiny baby cow, she was taken to a farm that had pigs - lots of pigs. The pigs took care of Edith. Edith grew up on the farm with all the pigs, and she never saw another cow.",categorization,"When Edith gets to be a grown-up, what did her tail look like: was it straight or was it curly?","When Edith gets to be a grown-up, her tail will be",,"Would Edith say ""moo"" or say ""oink""?","Between ""moo"" and ""oink"", Edith will say",,,,,,,,,,,,,,,,,Members of a category share something like an innate or intrinsic potential that will be realized even when an animal is reared by members of a different species. There will be higher curly tail ratings.,"Edith's tail would have been curly, since she was raised by pigs.","Edith would say ""oink"" since she was raised by pigs and would have picked up their language."
gelman_wellman_1991,3,24,nature_nurture,environment,"2*(condition: category control, upbringing control) x 2*(question type: behavior, physical feature) ANOVA",glm(response ~ condition type*question type),True,cow_raised_by_pig,"There is a cow named Edith. Right after Edith was born, when she was just a tiny baby cow, she was taken to a farm that had pigs - lots of pigs. The pigs took care of Edith. Edith grew up on the farm with all the pigs, and she never saw another cow.",categorization,"When Edith gets to be a grown-up, what did her tail look like: was it straight or was it curly?","When Edith gets to be a grown-up, her tail will be",,"Would Edith say ""moo"" or say ""oink""?","Between ""moo"" and ""oink"", Edith will say",,,,,,,,,,,,,,,,,Members of a category share something like an innate or intrinsic potential that will be realized even when an animal is reared by members of a different species. There will be higher curly tail ratings.,"Based on the information given, it is impossible to know what Edith's tail looked like.","Edith would say ""oink"" because she grew up on a farm with pigs and never saw another cow."
gelman_wellman_1991,3,25,nature_nurture,environment,"2*(condition: category control, upbringing control) x 2*(question type: behavior, physical feature) ANOVA",glm(response ~ condition type*question type),True,cow_raised_by_pig,"There is a cow named Edith. Right after Edith was born, when she was just a tiny baby cow, she was taken to a farm that had pigs - lots of pigs. The pigs took care of Edith. Edith grew up on the farm with all the pigs, and she never saw another cow.",categorization,"When Edith gets to be a grown-up, what did her tail look like: was it straight or was it curly?","When Edith gets to be a grown-up, her tail will be",,"Would Edith say ""moo"" or say ""oink""?","Between ""moo"" and ""oink"", Edith will say",,,,,,,,,,,,,,,,,Members of a category share something like an innate or intrinsic potential that will be realized even when an animal is reared by members of a different species. There will be higher curly tail ratings.,"From what you have described, it is likely that Edith's tail would be straight since she was raised around pigs and never saw another cow.","It is most likely that Edith would say ""oink"" since she was raised around pigs and never saw another cow."
gelman_wellman_1991,3,26,nature_nurture,environment,"2*(condition: category control, upbringing control) x 2*(question type: behavior, physical feature) ANOVA",glm(response ~ condition type*question type),True,cow_raised_by_pig,"There is a cow named Edith. Right after Edith was born, when she was just a tiny baby cow, she was taken to a farm that had pigs - lots of pigs. The pigs took care of Edith. Edith grew up on the farm with all the pigs, and she never saw another cow.",categorization,"When Edith gets to be a grown-up, what did her tail look like: was it straight or was it curly?","When Edith gets to be a grown-up, her tail will be",,"Would Edith say ""moo"" or say ""oink""?","Between ""moo"" and ""oink"", Edith will say",,,,,,,,,,,,,,,,,Members of a category share something like an innate or intrinsic potential that will be realized even when an animal is reared by members of a different species. There will be higher curly tail ratings.,"Edith's tail would have been straight, because she would have never seen another cow with a curly tail to copy.","Since Edith grew up on a farm with pigs, she would say ""oink"" instead of ""moo""."
gelman_wellman_1991,3,27,nature_nurture,environment,"2*(condition: category control, upbringing control) x 2*(question type: behavior, physical feature) ANOVA",glm(response ~ condition type*question type),True,cow_raised_by_pig,"There is a cow named Edith. Right after Edith was born, when she was just a tiny baby cow, she was taken to a farm that had pigs - lots of pigs. The pigs took care of Edith. Edith grew up on the farm with all the pigs, and she never saw another cow.",categorization,"When Edith gets to be a grown-up, what did her tail look like: was it straight or was it curly?","When Edith gets to be a grown-up, her tail will be",,"Would Edith say ""moo"" or say ""oink""?","Between ""moo"" and ""oink"", Edith will say",,,,,,,,,,,,,,,,,Members of a category share something like an innate or intrinsic potential that will be realized even when an animal is reared by members of a different species. There will be higher curly tail ratings.,Edith's tail would be straight because she would not have been exposed to the gene that causes cows' tails to curl.,Edith would say oink because she would have been raised by pigs and would not have heard other cows say moo.
gelman_wellman_1991,3,28,nature_nurture,environment,"2*(condition: category control, upbringing control) x 2*(question type: behavior, physical feature) ANOVA",glm(response ~ condition type*question type),True,cow_raised_by_pig,"There is a cow named Edith. Right after Edith was born, when she was just a tiny baby cow, she was taken to a farm that had pigs - lots of pigs. The pigs took care of Edith. Edith grew up on the farm with all the pigs, and she never saw another cow.",categorization,"When Edith gets to be a grown-up, what did her tail look like: was it straight or was it curly?","When Edith gets to be a grown-up, her tail will be",,"Would Edith say ""moo"" or say ""oink""?","Between ""moo"" and ""oink"", Edith will say",,,,,,,,,,,,,,,,,Members of a category share something like an innate or intrinsic potential that will be realized even when an animal is reared by members of a different species. There will be higher curly tail ratings.,"The tail of a cow is typically straight, but since Edith grew up on a farm with pigs, it is likely her tail is curly.","Since Edith grew up on a farm with pigs, it is likely that she would say ""oink."""
gelman_wellman_1991,3,29,nature_nurture,environment,"2*(condition: category control, upbringing control) x 2*(question type: behavior, physical feature) ANOVA",glm(response ~ condition type*question type),True,cow_raised_by_pig,"There is a cow named Edith. Right after Edith was born, when she was just a tiny baby cow, she was taken to a farm that had pigs - lots of pigs. The pigs took care of Edith. Edith grew up on the farm with all the pigs, and she never saw another cow.",categorization,"When Edith gets to be a grown-up, what did her tail look like: was it straight or was it curly?","When Edith gets to be a grown-up, her tail will be",,"Would Edith say ""moo"" or say ""oink""?","Between ""moo"" and ""oink"", Edith will say",,,,,,,,,,,,,,,,,Members of a category share something like an innate or intrinsic potential that will be realized even when an animal is reared by members of a different species. There will be higher curly tail ratings.,"Edith's tail would be curly, since she was raised by pigs.","Edith would say ""oink,"" since she was raised by pigs."
gelman_wellman_1991,3,30,nature_nurture,environment,"2*(condition: category control, upbringing control) x 2*(question type: behavior, physical feature) ANOVA",glm(response ~ condition type*question type),True,cow_raised_by_pig,"There is a cow named Edith. Right after Edith was born, when she was just a tiny baby cow, she was taken to a farm that had pigs - lots of pigs. The pigs took care of Edith. Edith grew up on the farm with all the pigs, and she never saw another cow.",categorization,"When Edith gets to be a grown-up, what did her tail look like: was it straight or was it curly?","When Edith gets to be a grown-up, her tail will be",,"Would Edith say ""moo"" or say ""oink""?","Between ""moo"" and ""oink"", Edith will say",,,,,,,,,,,,,,,,,Members of a category share something like an innate or intrinsic potential that will be realized even when an animal is reared by members of a different species. There will be higher curly tail ratings.,"Edith's tail would likely be straight, as she would have inheritied that trait from her cow parents. However, if she grew up only around pigs, her tail might be curly from copied the style of her pig friends.","Edith would most likely say ""oink"" since she grew up around pigs."
gelman_wellman_1991,3,31,nature_nurture,environment,"2*(condition: category control, upbringing control) x 2*(question type: behavior, physical feature) ANOVA",glm(response ~ condition type*question type),True,cow_raised_by_pig,"There is a cow named Edith. Right after Edith was born, when she was just a tiny baby cow, she was taken to a farm that had pigs - lots of pigs. The pigs took care of Edith. Edith grew up on the farm with all the pigs, and she never saw another cow.",categorization,"When Edith gets to be a grown-up, what did her tail look like: was it straight or was it curly?","When Edith gets to be a grown-up, her tail will be",,"Would Edith say ""moo"" or say ""oink""?","Between ""moo"" and ""oink"", Edith will say",,,,,,,,,,,,,,,,,Members of a category share something like an innate or intrinsic potential that will be realized even when an animal is reared by members of a different species. There will be higher curly tail ratings.,Edith's tail would be curly because she was raised by pigs.,Edith would oink because she was raised by pigs.
gelman_wellman_1991,3,32,nature_nurture,environment,"2*(condition: category control, upbringing control) x 2*(question type: behavior, physical feature) ANOVA",glm(response ~ condition type*question type),True,cow_raised_by_pig,"There is a cow named Edith. Right after Edith was born, when she was just a tiny baby cow, she was taken to a farm that had pigs - lots of pigs. The pigs took care of Edith. Edith grew up on the farm with all the pigs, and she never saw another cow.",categorization,"When Edith gets to be a grown-up, what did her tail look like: was it straight or was it curly?","When Edith gets to be a grown-up, her tail will be",,"Would Edith say ""moo"" or say ""oink""?","Between ""moo"" and ""oink"", Edith will say",,,,,,,,,,,,,,,,,Members of a category share something like an innate or intrinsic potential that will be realized even when an animal is reared by members of a different species. There will be higher curly tail ratings.,The cow's tail would be curly.,"Edith would say ""oink"" since she grew up on a farm with pigs."
