,category,version_number,rep_id,condition_description,items,item_original,item_new,appearance_type,whose_appearance,telo_condition,whose_telo,scenario_1,scenario_2,question,question_mask,bloom_response_scenario_1,bloom_response_scenario_1_retrieved,bloom_response_scenario_2,bloom_response_scenario_2_retrieved
98,artifacts,a_1_bm_3,2,bed_to_microwave_app_new_telo_preserved,bed_to_microwave,bed,microwave,new,microwave,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure didn’t heat up food. Instead, it only provided a place to sleep.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure didn’t heat up food. Instead, it only provided a place to sleep. After the special procedure, the thing looked like a microwave.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,a microwave. Even though it,microwave,a microwave. The reason is,microwave
98,artifacts,a_1_bm_3,3,bed_to_microwave_app_new_telo_preserved,bed_to_microwave,bed,microwave,new,microwave,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure didn’t heat up food. Instead, it only provided a place to sleep.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure didn’t heat up food. Instead, it only provided a place to sleep. After the special procedure, the thing looked like a microwave.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,a microwave. Because if they,microwave,"a microwave.
I think the",microwave
98,artifacts,a_1_bm_3,4,bed_to_microwave_app_new_telo_preserved,bed_to_microwave,bed,microwave,new,microwave,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure didn’t heat up food. Instead, it only provided a place to sleep.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure didn’t heat up food. Instead, it only provided a place to sleep. After the special procedure, the thing looked like a microwave.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,"a microwave, but not a",microwave,"a microwave, because the microwave",microwave
98,artifacts,a_1_bm_3,5,bed_to_microwave_app_new_telo_preserved,bed_to_microwave,bed,microwave,new,microwave,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure didn’t heat up food. Instead, it only provided a place to sleep.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure didn’t heat up food. Instead, it only provided a place to sleep. After the special procedure, the thing looked like a microwave.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,a microwave. The special procedure,microwave,a microwave. Because the thing,microwave
99,artifacts,a_1_bm_4,1,bed_to_microwave_app_new_telo_changed,bed_to_microwave,bed,microwave,new,microwave,changed,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only heated up food.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only heated up food. After the special procedure, the thing looked like a microwave.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,a microwave because it provides a,microwave,a microwave because the thing is,microwave
99,artifacts,a_1_bm_4,2,bed_to_microwave_app_new_telo_changed,bed_to_microwave,bed,microwave,new,microwave,changed,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only heated up food.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only heated up food. After the special procedure, the thing looked like a microwave.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,a microwave. Why? Because,microwave,"a microwave.
It is because",microwave
99,artifacts,a_1_bm_4,3,bed_to_microwave_app_new_telo_changed,bed_to_microwave,bed,microwave,new,microwave,changed,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only heated up food.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only heated up food. After the special procedure, the thing looked like a microwave.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,"a microwave, because, it",microwave,a microwave. The very definition,microwave
99,artifacts,a_1_bm_4,4,bed_to_microwave_app_new_telo_changed,bed_to_microwave,bed,microwave,new,microwave,changed,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only heated up food.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only heated up food. After the special procedure, the thing looked like a microwave.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,a microwave. I think that,microwave,a microwave. It provides a,microwave
99,artifacts,a_1_bm_4,5,bed_to_microwave_app_new_telo_changed,bed_to_microwave,bed,microwave,new,microwave,changed,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only heated up food.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only heated up food. After the special procedure, the thing looked like a microwave.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,a microwave. This is because,microwave,a microwave. It was not,microwave
100,artifacts,a_2_bl_1,1,bed_to_lotion_app_original_telo_preserved,bed_to_lotion,bed,lotion,original,bed,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure didn’t moisturize and soften the skin. Instead, it only provided a place to sleep.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure didn’t moisturize and soften the skin. Instead, it only provided a place to sleep. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,"床 (chuang), because",unsure,"bed, because a bed is",bed
100,artifacts,a_2_bl_1,2,bed_to_lotion_app_original_telo_preserved,bed_to_lotion,bed,lotion,original,bed,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure didn’t moisturize and soften the skin. Instead, it only provided a place to sleep.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure didn’t moisturize and soften the skin. Instead, it only provided a place to sleep. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,a bed. Because the thing,bed,a bed. If we look,bed
100,artifacts,a_2_bl_1,3,bed_to_lotion_app_original_telo_preserved,bed_to_lotion,bed,lotion,original,bed,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure didn’t moisturize and soften the skin. Instead, it only provided a place to sleep.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure didn’t moisturize and soften the skin. Instead, it only provided a place to sleep. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,a bed. This is because,bed,"床 (mattress), not",unsure
100,artifacts,a_2_bl_1,4,bed_to_lotion_app_original_telo_preserved,bed_to_lotion,bed,lotion,original,bed,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure didn’t moisturize and soften the skin. Instead, it only provided a place to sleep.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure didn’t moisturize and soften the skin. Instead, it only provided a place to sleep. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,a bed. Because the thing,bed,"a bed.
Reason:",bed
100,artifacts,a_2_bl_1,5,bed_to_lotion_app_original_telo_preserved,bed_to_lotion,bed,lotion,original,bed,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure didn’t moisturize and soften the skin. Instead, it only provided a place to sleep.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure didn’t moisturize and soften the skin. Instead, it only provided a place to sleep. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,床. The procedure they perform,unsure,"a bed. First, the",bed
101,artifacts,a_2_bl_2,1,bed_to_lotion_app_original_telo_changed,bed_to_lotion,bed,lotion,original,bed,changed,lotion,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only moisturized and softened the skin.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only moisturized and softened the skin. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,a bed. There is nothing,bed,a bed because the procedure has,bed
101,artifacts,a_2_bl_2,2,bed_to_lotion_app_original_telo_changed,bed_to_lotion,bed,lotion,original,bed,changed,lotion,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only moisturized and softened the skin.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only moisturized and softened the skin. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,a bed. Because the thing,bed,a lotion because it provides,lotion
101,artifacts,a_2_bl_2,3,bed_to_lotion_app_original_telo_changed,bed_to_lotion,bed,lotion,original,bed,changed,lotion,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only moisturized and softened the skin.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only moisturized and softened the skin. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,lotion. Why? Because,lotion,"a bed.
The reason is",bed
101,artifacts,a_2_bl_2,4,bed_to_lotion_app_original_telo_changed,bed_to_lotion,bed,lotion,original,bed,changed,lotion,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only moisturized and softened the skin.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only moisturized and softened the skin. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,a bed. In the question,bed,a bed. The reason is,bed
101,artifacts,a_2_bl_2,5,bed_to_lotion_app_original_telo_changed,bed_to_lotion,bed,lotion,original,bed,changed,lotion,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only moisturized and softened the skin.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only moisturized and softened the skin. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,a bed. I think the,bed,"a bed, because a bed",bed
102,artifacts,a_2_bl_3,1,bed_to_lotion_app_new_telo_preserved,bed_to_lotion,bed,lotion,new,lotion,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like lotion. After running some tests, they found that the thing after the special procedure didn’t moisturize and soften the skin. Instead, it only provided a place to sleep.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure didn’t moisturize and soften the skin. Instead, it only provided a place to sleep. After the special procedure, the thing looked like lotion.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,床 (a bed). The,unsure,床(bed). After all,unsure
102,artifacts,a_2_bl_3,2,bed_to_lotion_app_new_telo_preserved,bed_to_lotion,bed,lotion,new,lotion,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like lotion. After running some tests, they found that the thing after the special procedure didn’t moisturize and soften the skin. Instead, it only provided a place to sleep.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure didn’t moisturize and soften the skin. Instead, it only provided a place to sleep. After the special procedure, the thing looked like lotion.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,床(bed) and not,unsure,lotion. Because it looks,lotion
102,artifacts,a_2_bl_3,3,bed_to_lotion_app_new_telo_preserved,bed_to_lotion,bed,lotion,new,lotion,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like lotion. After running some tests, they found that the thing after the special procedure didn’t moisturize and soften the skin. Instead, it only provided a place to sleep.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure didn’t moisturize and soften the skin. Instead, it only provided a place to sleep. After the special procedure, the thing looked like lotion.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,a bed. Because a bed,bed,"a bed, because the procedure",bed
102,artifacts,a_2_bl_3,4,bed_to_lotion_app_new_telo_preserved,bed_to_lotion,bed,lotion,new,lotion,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like lotion. After running some tests, they found that the thing after the special procedure didn’t moisturize and soften the skin. Instead, it only provided a place to sleep.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure didn’t moisturize and soften the skin. Instead, it only provided a place to sleep. After the special procedure, the thing looked like lotion.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,床 (bed). If I,unsure,"a bed, because it’s a",bed
102,artifacts,a_2_bl_3,5,bed_to_lotion_app_new_telo_preserved,bed_to_lotion,bed,lotion,new,lotion,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like lotion. After running some tests, they found that the thing after the special procedure didn’t moisturize and soften the skin. Instead, it only provided a place to sleep.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure didn’t moisturize and soften the skin. Instead, it only provided a place to sleep. After the special procedure, the thing looked like lotion.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,床. Because the thing after,unsure,a bed because the thing is,bed
103,artifacts,a_2_bl_4,1,bed_to_lotion_app_new_telo_changed,bed_to_lotion,bed,lotion,new,lotion,changed,lotion,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like lotion. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only moisturized and softened the skin.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only moisturized and softened the skin. After the special procedure, the thing looked like lotion.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,床. The special procedure didn’t,unsure,床 (bed). We know,unsure
103,artifacts,a_2_bl_4,2,bed_to_lotion_app_new_telo_changed,bed_to_lotion,bed,lotion,new,lotion,changed,lotion,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like lotion. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only moisturized and softened the skin.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only moisturized and softened the skin. After the special procedure, the thing looked like lotion.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,not a bed or lotion,unsure,"lotion, not a bed",lotion
103,artifacts,a_2_bl_4,3,bed_to_lotion_app_new_telo_changed,bed_to_lotion,bed,lotion,new,lotion,changed,lotion,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like lotion. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only moisturized and softened the skin.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only moisturized and softened the skin. After the special procedure, the thing looked like lotion.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,床(bed). I think,unsure,床. It provides a place,unsure
103,artifacts,a_2_bl_4,4,bed_to_lotion_app_new_telo_changed,bed_to_lotion,bed,lotion,new,lotion,changed,lotion,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like lotion. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only moisturized and softened the skin.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only moisturized and softened the skin. After the special procedure, the thing looked like lotion.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,"a bed.
Lotion is",bed,a bed. Because the thing,bed
103,artifacts,a_2_bl_4,5,bed_to_lotion_app_new_telo_changed,bed_to_lotion,bed,lotion,new,lotion,changed,lotion,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like lotion. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only moisturized and softened the skin.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only moisturized and softened the skin. After the special procedure, the thing looked like lotion.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,"a bed, because it is",bed,"a bed. Because, as",bed
104,artifacts,a_3_bk_1,1,bed_to_keychain_app_original_telo_preserved,bed_to_keychain,bed,keychain,original,bed,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a keychain. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure didn’t hold keys. Instead, it only provided a place to sleep.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a keychain. After running some tests, they found that the thing after the special procedure didn’t hold keys. Instead, it only provided a place to sleep. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or a keychain?,The thing after the special operation is,a bed. The thing is,bed,a bed. Because the special,bed
104,artifacts,a_3_bk_1,2,bed_to_keychain_app_original_telo_preserved,bed_to_keychain,bed,keychain,original,bed,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a keychain. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure didn’t hold keys. Instead, it only provided a place to sleep.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a keychain. After running some tests, they found that the thing after the special procedure didn’t hold keys. Instead, it only provided a place to sleep. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or a keychain?,The thing after the special operation is,"keychain, because it only",keychain,a bed. If they can,bed
