paper,study,condition,sentence_1_normal,answer_1,sentence_2_easy,answer_2,sentence_3_hard,answer_3
rose_nichols_2020,2,coal_telo_preserved,The thing after the special operation is magnetite.,magnetite,Magnesium,magnetite,"The thing after the special operation is still technically coal, even though the insides have been replaced with those of magnetite. This is because the physical properties of the coal have not been changed, only the internal composition.",coal
rose_nichols_2020,2,coal_telo_changed,The thing after the special operation is magnetite.,magnetite,The answer is Magnetite.,magnetite,"It is unclear from the scenario whether the object is coal or magnetite. It depends on what the scientists used to replace the hummingbird's insides. If they used actual magnetite, then the object would be magnetite. If they used something that looked like magnetite but wasn't actually magnetite, then the object would be coal.",hybrid
rose_nichols_2020,3,hotplate_telo_preserved_fertilized_by_hotplate,The object after the special operation is a hotplate.,hotplate,Hotplate.,hotplate,"Although the thing after the special operation may resemble a clock, it is actually a hotplate. This is because the object was not able to tell time after the special operation was performed, which is the key function of a clock. Therefore, the object is classified as a hotplate.",hotplate
rose_nichols_2020,3,hotplate_telo_preserved_fertilized_by_clock,The thing after the special operation is a hotplate and not a clock.,hotplate,The thing is a hotplate.,hotplate,"The thing after the special operation is most likely a hotplate, since it did not tell time as expected.",hotplate
rose_nichols_2020,3,hotplate_telo_changed_fertilized_by_hotplate,"Based on the information given, it seems that the thing after the special operation is a clock.",clock,A clock,clock,"The answer is unclear. Based on the information given, it is difficult to determine if the object is a hotplate or a clock. More information would be needed to make a determination.",hybrid
rose_nichols_2020,3,hotplate_telo_changed_fertilized_by_clock,The thing after the special operation is a clock.,clock ,Clock,clock,"Based on the information given, it seems that the thing after the special operation is a clock.",clock
rose_nichols_2020,3,vulture_telo_preserved_fertilized_by_vulture,The thing after the special operation is neither a vulture nor a hummingbird.,hybrid,It is a vulture.,vulture,It is not a hummingbird because it does not pollinate flowers. It is not a vulture because it has a shortened body and wing span.,hybrid
rose_nichols_2020,3,vulture_telo_preserved_fertilized_by_hummingbird,The thing after the special operation is not a hummingbird. It is a vulture that has been modified to look like a hummingbird.,vulture,Vulture,vulture,"It is difficult to say for certain without further information, but it seems likely that the thing after the special operation is a vulture. If the scientists shortened the vulture's wings, legs, and body, and painted it with bright colors, it would likely resemble a hummingbird. However, if the thing after the operation only eats dead animals, that is more indicative of a vulture's diet and behavior, and less indicative of a hummingbird's.",vulture
rose_nichols_2020,3,vulture_telo_changed_fertilized_by_vulture,The thing after the special operation is a hummingbird.,hummingbird,It is a hummingbird.,hummingbird,It is unclear what the thing is after the special operation. It does not appear to be either a vulture or a hummingbird.,hybrid
rose_nichols_2020,3,vulture_telo_changed_fertilized_by_hummingbird,The thing after the operation is a hummingbird.,hummingbird,Hummingbird,hummingbird,"Many people would say that the thing after the special operation is a hummingbird because it has the characteristic features of one. However, Suzy and Andy know that it is still a vulture because they performed the operation and know what went into it.",vulture
rose_nichols_2020,3,magnetite_telo_preserved_fertilized_by_magnetite,"The thing after the special operation is likely coal, since it did not produce energy when tested.",coal,Coal,coal,"I don't know for sure, but my guess would be that the thing after the special operation is coal.",coal
rose_nichols_2020,3,magnetite_telo_preserved_fertilized_by_coal,"The thing after the special operation is most likely coal, since magnetite is a naturally occurring mineral that isgray or black in color and has a slightly metallic luster.",coal,Coal,coal,"It's impossible to say for sure without further information. If the thing only attracts objects and doesn't produce energy, it's probably coal. However, if the scientists were able to successfully change the magnetite's shape and smooth over its surface, it's possible that it's still magnetite.",hybrid
rose_nichols_2020,3,magnetite_telo_changed_fertilized_by_magnetite,The thing after the special operation is neither magnetite nor coal.,hybrid,Magnetite.,magnetite,"The thing after the special operation is most likely magnetite, as it has the same properties as magnetite before the operation. However, further testing would be needed to confirm this.",magnetite
rose_nichols_2020,3,magnetite_telo_changed_fertilized_by_coal,"Magnetite is a type of mineral that is naturally attracted to objects. After the special operation, the object is no longer magnetite, but coal.",coal,It is coal.,coal,"It is not possible to say for sure without further information about the special procedure that was performed. It is possible that the thing is still magnetite, but it is also possible that it is now coal.",hybrid
gelman_wellman_1991,2,turtle_inside_removed,"No, it would not be considered a turtle anymore.",no,"No, it is no longer a turtle.",no,"If you take out the blood and organs from a turtle, all you would be left with is the shell. The shell is what makes a turtle a turtle, so yes, it would still be considered a turtle.",yes
gelman_wellman_1991,2,turtle_outside_removed,"No, it would not be considered a turtle anymore.",no,No,no,"If you take away the turtle's shell, you are essentially left with the animal's organs and skeleton. While this might not look like a traditional turtle, it would still be classified as a turtle because the essential components are still present.",yes
gelman_wellman_1991,2,dog_inside_removed,"No, it would not be considered a dog anymore.",no,"No, it is not a dog.",no,"It depends on how you define a dog. If you consider a dog to be a living creature, then no, it would not be a dog without its internal organs. However, if you simply consider a dog to be an animal with certain physical characteristics, then yes, it would still be a dog without its internal organs.",maybe
gelman_wellman_1991,2,dog_outside_removed,"Without the fur, it would no longer be a dog.",no,"No, it would not be considered a dog anymore.",no,"It would depend on how much of the dog's fur was removed. If only a small amount was removed, then it would still be considered a dog. However, if most or all of the fur was removed, then it would no longer be considered a dog.",maybe
gelman_wellman_1991,2,egg_inside_removed,"No, it would no longer be an egg.",no,Yes,yes,"No, it is not an egg. An egg is defined as a ovum, or female reproductive cell, surrounded by one or more layers of albumen, or egg white, and contained within a shell of calcite. Without the albumen and the ovum, you are left with an eggshell, which is not an egg.",no
gelman_wellman_1991,2,egg_outside_removed,"Yes, it is still an egg without the shell.",yes,"No, it is not an egg.",no,"The insides of an egg are called the egg whites and the egg yolk. So, if you took off the eggshell and only had the egg whites and egg yolk, then yes, it would still be an egg.",yes
gelman_wellman_1991,2,banana_inside_removed,"No, removing the inner flesh of a banana would leave behind just the skin, which would not be considered a banana.",no,"No, it's not a banana.",no,"If by ""stuff"" you mean the banana's pulp and seeds, then no, it would not be a banana. The banana's peel would be left behind, but that alone is not a banana.",no
gelman_wellman_1991,2,banana_outside_removed,"Yes, it is still considered a banana.",yes,Yes,yes,"The answer to this question is a bit complicated. If you take off the peel and all you have left is the fruit inside, then technically, yes, it is still a banana. However, it would no longer be a whole banana, as the peel is an integral part of the fruit.",maybe
gelman_wellman_1991,2,car_inside_removed,"No, it is not a car without a motor.",no,"No, it's not a car anymore.",no,"If you take out the motor and all of the other inner workings of a car, you are left with the shell of the car. The shell is basically the frame and exterior of the car. So, in short, yes, the shell of a car is still considered a car.",yes
gelman_wellman_1991,2,car_outside_removed,"Without the paint, the car would not be recognizable as a car. The paint is an essential part of the car's design.",no,"No, it would not be considered a car anymore.",no,"No, it is not a car. A car is defined as a vehicle with four wheels that is used for transportation. Without the exterior shell, the vehicle would no longer be considered a car.",no
gelman_wellman_1991,2,book_inside_removed,"No, it's not a book anymore. It's just a cover.",no,No,no,"This is a difficult question to answer definitively. If all that is left of the book are the covers, then it could be argued that it is no longer a book. However, if the covers are still intact and in good condition, one could argue that it is still technically a book. Ultimately, it would depend on the interpretation of the person viewing it.",maybe
gelman_wellman_1991,2,book_outside_removed,"Yes, a book is still a book without its cover. The cover is simply the physical casing that protects the pages of the book.",yes,Yes,yes,"It depends on how you define a book. If you consider a book to be a collection of bound pages with a story or other information inside, then yes, the insides of a book without the cover would still be considered a book. However, if you consider the cover to be an integral part of the book, then no, the insides without the cover would not be considered a book.",maybe
gelman_wellman_1991,2,pencil_inside_removed,"No, it would no longer be considered a pencil.",no,Yes,yes,"If there is no lead inside the pencil, then it is not a functional pencil. It would be considered more of a decoration or a toy at that point.",no
gelman_wellman_1991,2,pencil_outside_removed,"Yes, it would still be considered a pencil.",yes,"No, it would no longer be a pencil.",no,"The answer to this question depends on how you define a pencil. If you consider a pencil to be just the wood and lead core, then yes, it would still be a pencil. However, if you consider a pencil to also include the paint and eraser, then no, it would not be a pencil anymore.",maybe
gelman_wellman_1991,2,jar_inside_removed,"Yes, the jar would still exist without the contents inside.",yes,Yes,yes,"No, it is not a jar. A jar is defined as a container with a wide mouth and a firm cylindrical shape, typically made of glass or ceramic and used for holding food or liquids. Once the food or liquid is removed, it is no longer a jar.",no
gelman_wellman_1991,2,jar_outside_removed,"Yes, it is still a jar. The label and other external features do not change the fundamental nature of the object.",yes,"No, it is not a jar.",no,"No, the jar would no longer be considered a jar once the label and other materials on the outside are removed.",no
gelman_wellman_1991,2,toybox_inside_removed,"Without anything inside of it, it would just be an empty box. It wouldn't really be a toy box anymore.",no,"No, it would no longer be a toy box.",no,"It would depend on how you define ""toy box."" If you consider a toy box to be a type of storage container specifically for toys, then no, it would no longer be a toy box. However, if you more broadly define a toy box as simply a box with a lid, then yes, it would still be a toy box.",maybe
gelman_wellman_1991,2,toybox_outside_removed,"No, without the paint and the exterior, it is just a box.",no,"Yes, the toy box would still be functional without the paint or other external decoration.",yes,"Without the paint, the toy box would just be a plain wooden box. It would still serve the same purpose of storing toys, but would be much less visually appealing.",no
gelman_wellman_1991,2,refrigerator_inside_removed,"Yes, it would still be considered a refrigerator.",yes,"No, it's not a refrigerator anymore.",no,"If all you have left are the outsides of a refrigerator, then it is no longer a functional refrigerator. In order to be a functional refrigerator, it must have the necessary components inside, such as the food and shelves.",no
gelman_wellman_1991,2,refrigerator_outside_removed,"Yes, it would still be considered a refrigerator.",yes,"No, it is not a refrigerator.",no,"Without the casing, the refrigerator would no longer be able to function properly. The insulation and external shell are necessary to keep the cold air in and the warm air out.",no
gelman_wellman_1991,3,cow_raised_by_pig,"Edith's tail would have been straight, since she was raised by pigs and would have adopted their physical traits.",straight,Edith's tail would have been curly.,curly,"Many cows have curly tails, but it is also possible for them to have straight tails. Given that Edith grew up on a farm with pigs and never saw another cow, it is likely that her tail would be straight.",straight
gelman_wellman_1991,3,rabbit_raised_by_monkey,"Rabbit's ears would have been long, since that is the typical ear size for rabbits.",long,"Rabbit's ears would likely be shorter than average, since he was raised among monkeys.",short,"Rabbit's ears would likely be long, as rabbits generally have long ears. However, since Rabbit grew up on a farm with monkeys, it is possible that his ears could be shorter than average, as monkeys generally have shorter ears.",long
gelman_wellman_1991,3,tiger_raised_by_horse,"The tiger's fur would be striped, as that is the natural coloration for tigers. Even though Tiger grew up on a farm with horses, his stripes would still be visible.",striped,The tiger's fur would be striped.,striped,"There is no correct answer to this question, as it would depend on the specific tiger's genetics. Some tigers have stripes that are more distinct than others, and some have minimal striping or even none at all. So, if the Tiger in this scenario had stripes, they could range from being very noticeable to barely there.",unsure
gelman_wellman_1991,3,mouse_raised_by_dog,"Minnie's ears would be floppy, since she grew up around dogs and would have been exposed to their floppy ears.",floppy,Minnie's ears looked floppy because she grew up around dogs.,floppy,"Minnie's ears would probably be somewhat floppy, since she grew up around dogs. Dog's ears are typically floppy, so Minnie's ears may have taken on that trait.",floppy
gelman_wellman_1991,3,kangaroo_raised_by_goat,"Given that Kanga was raised by goats and never saw another kangaroo, it is likely that she would not have developed a pouch.",no,Kanga does not have a pouch.,no,"Kanga will have a pouch, since all kangaroos have pouches. Even though she was raised by goats and never saw another kangaroo, she will still develop a pouch since it is a characteristic of her species.",yes
gelman_wellman_1991,5,appleseed_planted_in_flowerpot,The seed grew into a flower.,flower,A flower.,flower,There would be a small apple tree that sprouted from the ground.,apple
gelman_wellman_1991,5,watermelonseed_planted_in_cornfield,The seed would grow into a corn plant.,corn,Corn.,corn,"If the seed that Jennifer planted grew into a watermelon, then the watermelon would have popped up out of the ground. However, if the seed that Jennifer planted grew into corn, then the corn would have popped up out of the ground.",unsure
gelman_wellman_1991,5,lemonseed_planted_with_orangetree,The seed would have grown into an orange tree.,orange tree,an orange tree,orange tree,"The seed that Jennifer planted would have grown into an orange tree, as that is the type of tree that is typically found in that part of the world.",orange tree
gelman_wellman_1991,5,flowerseed_planted_with_strawberry,A strawberry popped up out of the ground.,strawberry,Strawberry,strawberry,"When the seed that Jennifer took out of the flower grew, a strawberry popped out of the ground.",strawberry
gelman_wellman_1991,5,roseseed_planted_with_dandelion,The seed grew into a dandelion.,dandelion,A dandelion.,dandelion,"Most likely, a dandelion would have popped up out of the ground, since that is what Jennifer planted the seed with. However, there is a chance that a rose could have also grown, since that is the seed's origins.",dandelion
gelman_wellman_1991,5,grapeseed_planted_with_coconuttree,It would be a coconut tree.,coconut tree,A coconut tree.,coconut tree,"When the seed Jennifer took out of the grape grew, a coconut tree popped up out of the ground.",coconut tree
gelman_wellman_1991,5,peachseed_planted_with_plumtree,The seed that Jennifer planted grew into a plum tree.,plum tree,A plum tree.,plum tree,"It depends on the species of peach tree and plum tree. If it was a peach tree, then a peach tree would pop up out of the ground. If it was a plum tree, then a plum tree would pop up out of the ground.",unsure
keil_1992,1,sheep_transformed_to_goat,"Since the animal has been altered to look like a goat, it is now considered a goat.",goat,It is now a goat.,goat,"The animal is neither a sheep nor a goat, but rather a mutt - a cross between the two.",hybrid
keil_1992,1,tiger_transformed_to_lion,"After the operation, the animal was a lion.",lion,A lion.,lion,"This animal would be considered a lion after the operation, as it would have the mane of a lion. However, it would still have the DNA of a tiger, so it would technically be a hybrid between the two animals.",hybrid
keil_1992,1,chicken_transformed_to_turkey,"End result, it was a turkey.",turkey,A turkey.,turkey,"After the operation, the chicken resembled a turkey more than it did a chicken. However, it was still technically a chicken.",chicken
keil_1992,1,raccoon_transformed_to_skunk,This was a raccoon that had been surgically altered to look like a skunk.,raccoon,A skunk.,skunk,"It depends on how you define a skunk. If you consider a skunk to be any animal that has the appearance of a skunk, then the answer would be that this is a skunk. However, if you consider a skunk to be a specific species of animal, then the answer would be that this is a raccoon that has been surgically altered to look like a skunk.",hybrid
keil_1992,1,horse_transformed_to_zebra,This animal was a zebra.,zebra,It was a zebra.,zebra,"The animal would technically be considered a horse, as that is its species. However, it has been altered so significantly that it would be more accurately described as a zebra.",horse
keil_1992,1,lead_transformed_to_gold,It would be lead with a gold-colored coating.,lead,It was lead.,lead,"It would be lead, since they started with a bar of lead and simply added a dye to it. Real gold would not have been used in this scenario.",lead
keil_1992,1,grapefruit_transformed_to_orange,The doctors created an orange out of a grapefruit by adding orange food coloring and sugar.,orange,This is an orange.,orange,"The doctors transformed the grapefruit into an orange through their shots of orange food coloring and sugar. Therefore, the final product was an orange.",orange
keil_1992,1,kitchenpipe_transformed_to_flute,The doctors had a type of flute after the operation.,flute,A type of flute.,flute,"It depends on how you look at it. The doctors took a kitchen pipe and cut off a section to use as a flute. So technically, they still have a kitchen pipe. However, the section they cut off is now a flute.",kitchen pipe
keil_1992,1,card_transformed_to_toiletpaper,The doctors had toilet paper.,toilet paper,Toilet paper.,toilet paper,"After the operation, the doctors had toilet paper.",toilet paper
keil_1992,1,tire_transformed_to_boot,"After they completed the operation, they had a boot.",boot,They had a boot.,boot,"It depends on how you define ""operation."" If you consider the act of cutting and sewing the tire to be the operation, then the doctors ended up with a boot. However, if you consider the original purpose of the operation to be to create a boot from a tire, then the doctors would have considered the operation to be a success even if they ended up with a tire that looked like a boot.",hybrid
keil_1992,1,plasticbottle_transformed_to_flipflop,They ended up with flipflop sandals.,flip flop,They had flipflop sandals.,flip flop,They had a plastic bottle with four strips of plastic attached to it that looked like flipflops.,plastic bottle
keil_1992,1,garbagecan_transformed_to_chair,"When they were done, they had a chair.",chair,They had a chair.,chair,The doctors created a chair from a garbage can.,chair
keil_1992,1,coffeepot_transformed_to_birdfeeder,"Technically, it is still a coffeepot, but it has been transformed into a birdfeeder.",coffeepot,This is a birdfeeder.,birdfeeder,"This was originally a coffeepot, but after the doctors performed their operations, it became a birdfeeder.",birdfeeder
keil_1992,1,bobbypin_transformed_to_needle,The doctors had sewing needles after the operation.,needle,The doctors had needles.,needle,"Poking a hole into the end of a bobby pin does not necessarily turn it into a sewing needle - so the doctors could still have a bobby pin, albeit a damaged one.",bobby pin
keil_1992,1,necktie_transformed_to_shoelace,The doctors had shoelaces.,shoelace,Shoelaces,shoelace,The doctors would have shoelaces after cutting the necktie into thin strips and attaching plastic tabs to the ends.,shoelace
waxman_2007,1,cow_raised_by_pig,The baby is now an adult pig.,pig,It is a pig.,pig,The baby is an adult cow.,cow
waxman_2007,1,pigeon_raised_by_turkey,The baby is now an adult turkey.,turkey,The baby is a turkey.,turkey,"Now that the baby is an adult, it is a turkey. It was raised by turkeys and never had any interaction with pigeons, so it considers itself a turkey.",turkey
waxman_2007,1,turtle_raised_by_toad,The baby is now an adult toad.,toad,The animal is a toad.,toad,"The adult is most likely a toad, since it grew up with toads and never saw another turtle.",toad
waxman_2007,2,cow_raised_by_pig,The adult is most likely a pig since it grew up with pigs and never saw another cow.,pig,The baby is now an adult pig.,pig,"The adult is likely a pig, since it was raised by pigs and never saw another cow.",pig
waxman_2007,2,cardinal_raised_by_seagull,"The adult is likely to be a seagull, as it was raised by them and never saw another cardinal.",seagull,The baby is now an adult seagull.,seagull,"The animal is a seagull. It was raised by seagulls and never saw another cardinal, so it identifies as a seagull.",seagull
waxman_2007,2,turtle_raised_by_toad,The baby is now an adult toad.,toad,The animal is a toad.,toad,"The adult is most likely a toad, since it grew up with toads and never saw another turtle.",toad
waxman_2007,3,rabbit_raised_by_raccoons_blood,"Based on the scenario, it seems that the baby would be a raccoon.",raccoon,The baby is a raccoon.,raccoon,"The answer to this question is a bit tricky. Technically, the baby is a rabbit, since that is the species of animal that gave birth to it. However, since the baby was raised by raccoons, it is likely that it would identify more with raccoons than with rabbits. In other words, the baby would probably behave more like a raccoon than a rabbit.",rabbit
waxman_2007,3,rabbit_raised_by_raccoons,"The baby would be a raccoon, since it grew up with them and had their blood.",raccoon,A raccoon.,raccoon,"The baby is actually a raccoon. Even though it was born from a rabbit, it was raised by raccoons and had raccoon blood running through its veins.",raccoon
waxman_2007,3,deer_raised_by_sheep_blood,"The baby was a deer, but it grew up thinking it was a sheep.",deer,The baby is a sheep.,sheep,"Although the baby was born a deer, it was raised by sheep and never interacted with deer, so it would be more like a sheep in behavior.",deer
waxman_2007,3,deer_raised_by_sheep,The baby grew up to be a sheep.,sheep,A sheep.,sheep,"The answer could be either a deer or a sheep. If the baby grew up never seeing another deer, and only had sheep blood, then it would be more likely that the baby would identify as a sheep. However, if the baby was raised around both deer and sheep, then it might identify as either one.",hybrid
hampton_2007,1,worm_mutated_to_snail_offspring,The animal was more typical of a worm before it changed.,worm,"Before it changed, the animal was more typical of a worm.",worm,"Arguably, the animal was more typical of a worm before it changed. It had a segmented body, no arms or legs, and it burrowed into the soil. However, after it changed, it became more typical of a snail. It began carrying a small shell around on its back, grew two short antennae from its head, and left a slimy trail wherever it went.",worm
hampton_2007,1,worm_matured_to_snail_offspring,All animals are more typical of themselves before they change.,worm,Worm,worm,"Looking at the scenario given, it would appear that the animal was more typical of a worm before it changed. This is because it burrowed into the soil, had a segmented body, and did not have any arms or legs. Once it began to change, however, and grew a small shell and two antennae, it began to look and act more like a snail.",worm
hampton_2007,1,snake_mutated_to_lizard_offspring,The animal was more typical of a snake before it changed.,snake,snake,snake,"Based on the description given, the animal was more typical of a snake than a lizard.",snake
hampton_2007,1,snake_matured_to_lizard_offspring,The animal was more typical of a snake before it changed.,snake,Snake,snake,"Although it looked and acted like a snake, the animal was more typical of a lizard. This is because it was undergoing natural processes of change that led it to develop characteristics more typical of a lizard. Once the animal developed these characteristics, it began to look and act more like a snake.",lizard
hampton_2007,1,hummingbird_mutated_to_bee_offspring,The animal was more typical of a hummingbird before it changed.,hummingbird,more typical of a hummingbird,hummingbird,"The animal's original form was more typical of a hummingbird. However, after it changed as a result of environmental contamination, it became more like a bee in terms of appearance and behavior.",hummingbird
hampton_2007,1,hummingbird_matured_to_bee_offspring,The animal was more typical of a hummingbird before it changed.,hummingbird,More typical of a hummingbird,hummingbird,"The animal was more typical of a hummingbird before it changed. It had wings and feathers, and it lived on the nectar of flowers. After it changed, it was more typical of a bee. It had transparent wings and a black and yellow striped body, and it always buzzed about.",hummingbird
hampton_2007,1,horse_mutated_to_zebra_offspring,The animal was more typical of a horse.,horse,zebra.,zebra,"Before it changed, the animal was clearly more typical of a horse. But once it developed black and white stripes and began to look and act like a zebra, it became more typical of a zebra.",horse
hampton_2007,1,horse_matured_to_zebra_offspring,The animal was more typical of a horse before it changed.,horse,More typical of a horse.,horse,"Before it changed, the animal was more typical of a horse because it had the same physical features and behavior. However, after it developed black and white stripes, it became more typical of a zebra.",horse
hampton_2007,1,worm_mutated_to_snail,The animal was more typical of a worm before it changed.,worm,Worm,worm,The animal was more typical of a worm before it changed.,worm
hampton_2007,1,worm_matured_to_snail,The animal was more typical of a worm before it began to change.,worm,snail.,snail,"Before it changed, the animal was more typical of a worm. After it changed, the animal was more typical of a snail.",worm
hampton_2007,1,snake_mutated_to_lizard,The animal was more typical of a snake before it changed.,snake,"Before it changed, the animal was more typical of a snake.",snake,"Before it changed, the animal was more typical of a snake.",snake
hampton_2007,1,snake_matured_to_lizard,The animal was more typical of a snake before it changed.,snake,The animal was more typical of a snake.,snake,"Before the animal changed, it was more typical of a snake.",snake
hampton_2007,1,hummingbird_mutated_to_bee,The animal was more typical of a hummingbird before it changed.,hummingbird,Hummingbird,hummingbird,"If we are simply looking at the physical attributes of the animal, then it would be more typical of a hummingbird. However, if we take into account the fact that it fed on nectar, then it would be more typical of a bee.",hybrid
hampton_2007,1,hummingbird_matured_to_bee,The animal was more typical of a hummingbird before it changed.,hummingbird,Hummingbird,hummingbird,"If we are simply looking at the physical attributes of the animal, then it would be more typical of a hummingbird. However, if we take into account the fact that it fed on nectar, then it would be more typical of a bee.",hybrid
hampton_2007,1,horse_mutated_to_zebra,The animal was more typical of a horse before it changed.,horse,A horse.,horse,"Before the animal changed, it was more typical of a horse.",horse
hampton_2007,1,horse_matured_to_zebra,The animal was more typical of a horse before it changed.,horse,A horse.,horse,"Before the animal changed, it was more typical of a horse.",horse
barton_and_komatsu_1997,1,gold_changed_in_molecule,"No, gold would not still be gold if it were in all ways like gold except that it was not atomic number 79.",no,"No, it would not be gold.",no,Gold would still be gold if it were in all ways like gold except that it was not atomic number 79.,yes
barton_and_komatsu_1997,1,gold_changed_in_functional,Gold would still be gold in this hypothetical situation.,yes,"No, it would not.",no,"Most likely not, as gold is often used in dental work because of its inertness, meaning it does not corrode or tarnish over time.",no
barton_and_komatsu_1997,1,gold_changed_in_physical,"Yes, gold would still be gold if it were red.",yes,no,no,"Gold is classified as a metal, and specifically as a noble metal, based on its chemical properties. These properties would not change if the color of gold were to change. Therefore, gold would still be gold if it were red.",yes
barton_and_komatsu_1997,1,water_changed_in_molecule,"No, water would not still be water if it were in all ways like water except that it was not formula H2O.",no,"No, it would not.",no,"The chemical formula for water is H2O, which means that it is made up of two hydrogen atoms and one oxygen atom. If water were to have a different chemical formula, it would no longer be water.",no
barton_and_komatsu_1997,1,water_changed_in_functional,"Yes, water would still be water even if it tasted too bad to drink.",yes,"No, it would not be water.",no,"No, it would not be water. Water is defined by its chemical composition, which includes the property of being potable. If it were not potable, it would not be water.",no
barton_and_komatsu_1997,1,water_changed_in_physical,"Yes, if water were opaque green it would still be water.",yes,"Yes, it would.",yes,"There is no definitive answer to this question since it is based on a hypothetical situation. However, some people might argue that water would no longer be considered water if it were opaque green, since one of the defining characteristics of water is its clear color. Others might argue that water would still be water even if it were opaque green, since the chemical composition of water would not have changed.",maybe
