paper,study,type,type_category,stat_test_original,stat_test_new,is_natural_kind,condition,mask_pred_1,mask_pred_2,scenario_1,question_1_1_type,question_1_1_text,question_1_1_mask,question_1_2_type,question_1_2_text,question_1_2_mask,question_1_3_type,question_1_3_text,question_1_3_mask,question_1_4_type,question_1_4_text,question_1_4_mask,question_1_5_type,question_1_5_text,question_1_5_mask,question_1_6_type,question_1_6_text,question_1_6_mask,scenario_2,question_2_1_type,question_2_1_text,question_2_1_mask,hypotheses
rose_nichols_2020,1,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),FALSE,hotplate_telo_preserved,hotplate,clock,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hotplate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands.  After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t tell time. Instead, it only heated up.",categorization,Is the thing after the special operation a hot plate or clock?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of hot plates?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher hotplate ratings on purpose preserved.
rose_nichols_2020,1,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),FALSE,hotplate_telo_changed,hotplate,clock,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hotplate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands. After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t heat up. Instead, it only told time.",categorization,Is the thing after the special operation a hot plate or clock?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of hot plates?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher clock ratings on purpose changed.
rose_nichols_2020,1,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),TRUE,vulture_telo_preserved,vulture,hummingbird,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hummingbird. They decide to stretch its beak, shorten its wings, legs and body and paint it with bright colors.  After the special procedure, the thing looked like a hummingbird. After running some tests, they found that the thing after the special procedure didn’t pollinate flowers. Instead, it only ate dead animals.",categorization,Is the thing after the special operation a vulture or hummingbird?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of vultures?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher vulture ratings on purpose preserved.
rose_nichols_2020,1,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),TRUE,vulture_telo_changed,vulture,hummingbird,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hummingbird. They decide to stretch its beak, shorten its wings, legs and body and paint it with bright colors.  After the special procedure, the thing looked like a hummingbird. After running some tests, they found that the thing after the special procedure didn’t eat dead animals. Instead, it only pollinated flowers.",categorization,Is the thing after the special operation a vulture or hummingbird?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of vultures?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher hummingbird ratings on purpose changed.
rose_nichols_2020,1,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),TRUE,magnetite_telo_preserved,magnetite,coal,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on some magnetite.They decide to make it rectangular shaped, smooth over its jagged surface and paint it dark black. After the special procedure, the thing looked like coal. After running some tests, they found that the thing after the special procedure didn’t produce energy. Instead, it only attracted objects.",categorization,Is the thing after the special operation magnetite or coal?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of magnetite?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher magnetite ratings on purpose preserved.
rose_nichols_2020,1,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),TRUE,magnetite_telo_changed,magnetite,coal,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on some magnetite.They decide to make it rectangular shaped, smooth over its jagged surface and paint it dark black. After the special procedure, the thing looked like coal. After running some tests, they found that the thing after the special procedure didn’t attract objects. Instead, it only produced energy.",categorization,Is the thing after the special operation magnetite or coal?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of magnetite?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher coal ratings on purpose changed.
rose_nichols_2020,2,transformation,inside_removal,"2*(telos: preserved, changed) x 3*(kind: clock, hummingbird, coal) ANOVA ",glm(response ~ telos*kind),FALSE,clock_telo_preserved,clock,hotplate,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a clock. They decide to remove the insides of the clock and replace them with the insides from a hotplate. After the special procedure, the insides were changed but it still looked like a clock. After running some tests, they found that the thing after the special procedure didn’t heat up. Instead, it only told time.",categorization,Is the thing after the special operation a clock or a hotplate?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of clocks?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher clock ratings on purpose preserved.
rose_nichols_2020,2,transformation,inside_removal,"2*(telos: preserved, changed) x 3*(kind: clock, hummingbird, coal) ANOVA ",glm(response ~ telos*kind),FALSE,clock_telo_changed,clock,hotplate,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a clock. They decide to remove the insides of the clock and replace them with the insides from a hotplate. After the special procedure, the insides were changed but it still looked like a clock. After running some tests, they found that the thing after the special procedure didn’t tell time. Instead, it only heated up.",categorization,Is the thing after the special operation a clock or a hotplate?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of clocks?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher hotplate ratings on purpose changed.
rose_nichols_2020,2,transformation,inside_removal,"2*(telos: preserved, changed) x 3*(kind: clock, hummingbird, coal) ANOVA ",glm(response ~ telos*kind),TRUE,hummingbird_telo_preserved,hummingbird,vulture,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hummingbird. They decide to remove the insides of the hummingbird and replace them with the insides from a vulture. After the special procedure, the insides were changed but it still looked like a hummingbird. After running some tests, they found that the thing after the special procedure didn’t eat dead animals. Instead, it only pollinated flowers.",categorization,Is the thing after the special operation a vulture or a hummingbird?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of hummingbirds?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher humminbird ratings on purpose preserved.
rose_nichols_2020,2,transformation,inside_removal,"2*(telos: preserved, changed) x 3*(kind: clock, hummingbird, coal) ANOVA ",glm(response ~ telos*kind),TRUE,hummingbird_telo_changed,hummingbird,vulture,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hummingbird. They decide to remove the insides of the hummingbird and replace them with the insides from a vulture. After the special procedure, the insides were changed but it still looked like a hummingbird. After running some tests, they found that the thing after the special procedure didn’t pollinate flowers. Instead, it only ate dead animals.",categorization,Is the thing after the special operation a vulture or a hummingbird?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of hummingbirds?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher vulture ratings on purpose changed.
rose_nichols_2020,2,transformation,inside_removal,"2*(telos: preserved, changed) x 3*(kind: clock, hummingbird, coal) ANOVA ",glm(response ~ telos*kind),FALSE,coal_telo_preserved,coal,magnetite,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on some coal. They decide to remove the insides of the coal and replace them with the insides from some magnetite. After the special procedure, the insides were changed but it still looked like coal. After running some tests, they found that the thing after the special procedure didn’t attract objects. Instead, it only produced energy.",categorization,Is the thing after the special operation coal or magnetite?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of coal?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher coal ratings on purpose preserved.
rose_nichols_2020,2,transformation,inside_removal,"2*(telos: preserved, changed) x 3*(kind: clock, hummingbird, coal) ANOVA ",glm(response ~ telos*kind),FALSE,coal_telo_changed,coal,magnetite,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on some coal. They decide to remove the insides of the hummingbird and replace them with the insides from some magnetite. After the special procedure, the insides were changed but it still looked like coal. After running some tests, they found that the thing after the special procedure didn’t produce energy. Instead, it only attracted objects.",categorization,Is the thing after the special operation coal or magnetite?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of coal?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher magnetite ratings on purpose changed.
rose_nichols_2020,3,nature_nurture,DNA,"2*(telos: preserved, changed) x 3 (kind: hotplate, vulture, magnetite) x 2 (fertilized, non-fertilized) ANOVA ",glm(response ~ telos*kind*fertilization),FALSE,hotplate_telo_preserved_fertilized_by_hotplate,hoplate,clock,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hot plate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands. After the special procedure, it looked like a clock. After running some tests, they found that the thing after the special procedure didn’t tell time. Instead, it only heated up.",categorization,Is the thing after the special operation a hot plate or clock?,"After the special operation, the thing is a",,,,,,,,,,,,,,,,Suzy and Andy have devised a special machine that works just like fertilization in animals. Two things go into the special machine and a new thing comes out. They place the thing they performed the special procedure on and a hotplate inside the machine.,inheritance,Will the new thing that comes out of the machine be a hotplate or clock?,,There will be higher hotplate ratings on purpose preserved.
rose_nichols_2020,3,nature_nurture,DNA,"2*(telos: preserved, changed) x 3 (kind: hotplate, vulture, magnetite) x 2 (fertilized, non-fertilized) ANOVA",glm(response ~ telos*kind*fertilization),FALSE,hotplate_telo_preserved_fertilized_by_clock,hoplate,clock,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hot plate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands. After the special procedure, it looked like a clock. After running some tests, they found that the thing after the special procedure didn’t tell time. Instead, it only heated up.",categorization,Is the thing after the special operation a hot plate or clock?,"After the special operation, the thing is a",,,,,,,,,,,,,,,,Suzy and Andy have devised a special machine that works just like fertilization in animals. Two things go into the special machine and a new thing comes out. They place the thing they performed the special procedure on and a clock inside the machine.,inheritance,Will the new thing that comes out of the machine be a hotplate or clock?,,There will be higher hotplate ratings on purpose preserved.
rose_nichols_2020,3,nature_nurture,DNA,"2*(telos: preserved, changed) x 3 (kind: hotplate, vulture, magnetite) x 2 (fertilized, non-fertilized) ANOVA",glm(response ~ telos*kind*fertilization),FALSE,hotplate_telo_changed_fertilized_by_hotplate,hoplate,clock,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hot plate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands. After the special procedure, it looked like a clock. After running some tests, they found that the thing after the special procedure didn’t heat up. Instead, it only told time.",categorization,Is the thing after the special operation a hot plate or clock?,"After the special operation, the thing is a",,,,,,,,,,,,,,,,Suzy and Andy have devised a special machine that works just like fertilization in animals. Two things go into the special machine and a new thing comes out. They place the thing they performed the special procedure on and a hotplate inside the machine.,inheritance,Will the new thing that comes out of the machine be a hotplate or clock?,,There will be higher clock ratings on purpose changed.
rose_nichols_2020,3,nature_nurture,DNA,"2*(telos: preserved, changed) x 3 (kind: hotplate, vulture, magnetite) x 2 (fertilized, non-fertilized) ANOVA",glm(response ~ telos*kind*fertilization),FALSE,hotplate_telo_changed_fertilized_by_clock,hoplate,clock,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hot plate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands. After the special procedure, it looked like a clock. After running some tests, they found that the thing after the special procedure didn’t heat up. Instead, it only told time.",categorization,Is the thing after the special operation a hot plate or clock?,"After the special operation, the thing is a",,,,,,,,,,,,,,,,Suzy and Andy have devised a special machine that works just like fertilization in animals. Two things go into the special machine and a new thing comes out. They place the thing they performed the special procedure on and a clock inside the machine.,inheritance,Will the new thing that comes out of the machine be a hotplate or clock?,,There will be higher clock ratings on purpose changed.
rose_nichols_2020,3,nature_nurture,DNA,"2*(telos: preserved, changed) x 3 (kind: hotplate, vulture, magnetite) x 2 (fertilized, non-fertilized) ANOVA",glm(response ~ telos*kind*fertilization),TRUE,vulture_telo_preserved_fertilized_by_vulture,vulture,hummingbird,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a vulture. They decide to stretch its beak, shorten its wings, legs and body and paint it with bright colors. After the special procedure, it looked like a hummingbird. After running some tests, they found that the thing after the special procedure didn’t pollinate flowers. Instead, it only ate dead animals.",categorization,Is the thing after the special operation a vulture or hummingbird?,"After the special operation, the thing is a",,,,,,,,,,,,,,,,Suzy and Andy have devised a special machine that works just like fertilization in animals. Two things go into the special machine and a new thing comes out. They place the thing they performed the special procedure on and a vulture inside the machine.,inheritance,Will the new thing that comes out of the machine be a vulture or hummingbird?,,There will be higher vulture ratings on purpose preserved.
rose_nichols_2020,3,nature_nurture,DNA,"2*(telos: preserved, changed) x 3 (kind: hotplate, vulture, magnetite) x 2 (fertilized, non-fertilized) ANOVA",glm(response ~ telos*kind*fertilization),TRUE,vulture_telo_preserved_fertilized_by_hummingbird,vulture,hummingbird,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a vulture. They decide to stretch its beak, shorten its wings, legs and body and paint it with bright colors. After the special procedure, it looked like a hummingbird. After running some tests, they found that the thing after the special procedure didn’t pollinate flowers. Instead, it only ate dead animals.",categorization,Is the thing after the special operation a vulture or hummingbird?,"After the special operation, the thing is a",,,,,,,,,,,,,,,,Suzy and Andy have devised a special machine that works just like fertilization in animals. Two things go into the special machine and a new thing comes out. They place the thing they performed the special procedure on and a hummingbird inside the machine.,inheritance,Will the new thing that comes out of the machine be a vulture or hummingbird?,,There will be higher vulture ratings on purpose preserved.
rose_nichols_2020,3,nature_nurture,DNA,"2*(telos: preserved, changed) x 3 (kind: hotplate, vulture, magnetite) x 2 (fertilized, non-fertilized) ANOVA",glm(response ~ telos*kind*fertilization),TRUE,vulture_telo_changed_fertilized_by_vulture,vulture,hummingbird,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a vulture. They decide to stretch its beak, shorten its wings, legs and body and paint it with bright colors. After the special procedure, it looked like a hummingbird. After running some tests, they found that the thing after the special procedure didn’t eat dead animals. Instead, it only pollinated flowers.",categorization,Is the thing after the special operation a vulture or hummingbird?,"After the special operation, the thing is a",,,,,,,,,,,,,,,,Suzy and Andy have devised a special machine that works just like fertilization in animals. Two things go into the special machine and a new thing comes out. They place the thing they performed the special procedure on and a vulture inside the machine.,inheritance,Will the new thing that comes out of the machine be a vulture or hummingbird?,,There will be higher hummingbird ratings on purpose changed.
rose_nichols_2020,3,nature_nurture,DNA,"2*(telos: preserved, changed) x 3 (kind: hotplate, vulture, magnetite) x 2 (fertilized, non-fertilized) ANOVA",glm(response ~ telos*kind*fertilization),TRUE,vulture_telo_changed_fertilized_by_hummingbird,vulture,hummingbird,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a vulture. They decide to stretch its beak, shorten its wings, legs and body and paint it with bright colors. After the special procedure, it looked like a hummingbird. After running some tests, they found that the thing after the special procedure didn’t eat dead animals. Instead, it only pollinated flowers.",categorization,Is the thing after the special operation a vulture or hummingbird?,"After the special operation, the thing is a",,,,,,,,,,,,,,,,Suzy and Andy have devised a special machine that works just like fertilization in animals. Two things go into the special machine and a new thing comes out. They place the thing they performed the special procedure on and a hummingbird inside the machine.,inheritance,Will the new thing that comes out of the machine be a vulture or hummingbird?,,There will be higher hummingbird ratings on purpose changed.
rose_nichols_2020,3,nature_nurture,DNA,"2*(telos: preserved, changed) x 3 (kind: hotplate, vulture, magnetite) x 2 (fertilized, non-fertilized) ANOVA",glm(response ~ telos*kind*fertilization),FALSE,magnetite_telo_preserved_fertilized_by_magnetite,magnetite,coal,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on some magnetite. Magnetite: They decide to make it rectangular shaped, smooth over its jagged surface and paint it dark black. After the special procedure, it looked like coal. After running some tests, they found that the thing after the special procedure didn’t produce energy. Instead, it only attracted objects.",categorization,Is the thing after the special operation magnetite or coal?,"After the special operation, the thing is a",,,,,,,,,,,,,,,,Suzy and Andy have devised a special machine that works just like fertilization in animals. Two things go into the special machine and a new thing comes out. They place the thing they performed the special procedure on and magnetite inside the machine.,inheritance,Will the new thing that comes out of the machine be magnetite or coal?,,There will be higher magnetite ratings on purpose preserved.
rose_nichols_2020,3,nature_nurture,DNA,"2*(telos: preserved, changed) x 3 (kind: hotplate, vulture, magnetite) x 2 (fertilized, non-fertilized) ANOVA",glm(response ~ telos*kind*fertilization),FALSE,magnetite_telo_preserved_fertilized_by_coal,magnetite,coal,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on some magnetite. Magnetite: They decide to make it rectangular shaped, smooth over its jagged surface and paint it dark black. After the special procedure, it looked like coal. After running some tests, they found that the thing after the special procedure didn’t produce energy. Instead, it only attracted objects.",categorization,Is the thing after the special operation magnetite or coal?,"After the special operation, the thing is a",,,,,,,,,,,,,,,,Suzy and Andy have devised a special machine that works just like fertilization in animals. Two things go into the special machine and a new thing comes out. They place the thing they performed the special procedure on and coal inside the machine.,inheritance,Will the new thing that comes out of the machine be magnetite or coal?,,There will be higher magnetite ratings on purpose preserved.
rose_nichols_2020,3,nature_nurture,DNA,"2*(telos: preserved, changed) x 3 (kind: hotplate, vulture, magnetite) x 2 (fertilized, non-fertilized) ANOVA",glm(response ~ telos*kind*fertilization),FALSE,magnetite_telo_changed_fertilized_by_magnetite,magnetite,coal,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on some magnetite. They decide to make it rectangular shaped, smooth over its jagged surface and paint it dark black. After the special procedure, it looked like coal. After running some tests, they found that the thing after the special procedure didn’t attract objects. Instead, it only produced energy.",categorization,Is the thing after the special operation magnetite or coal?,"After the special operation, the thing is a",,,,,,,,,,,,,,,,Suzy and Andy have devised a special machine that works just like fertilization in animals. Two things go into the special machine and a new thing comes out. They place the thing they performed the special procedure on and magnetite inside the machine.,inheritance,Will the new thing that comes out of the machine be magnetite or coal?,,There will be higher coal ratings on purpose changed.
rose_nichols_2020,3,nature_nurture,DNA,"2*(telos: preserved, changed) x 3 (kind: hotplate, vulture, magnetite) x 2 (fertilized, non-fertilized) ANOVA",glm(response ~ telos*kind*fertilization),FALSE,magnetite_telo_changed_fertilized_by_coal,magnetite,coal,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on some magnetite. They decide to make it rectangular shaped, smooth over its jagged surface and paint it dark black. After the special procedure, it looked like coal. After running some tests, they found that the thing after the special procedure didn’t attract objects. Instead, it only produced energy.",categorization,Is the thing after the special operation magnetite or coal?,"After the special operation, the thing is a",,,,,,,,,,,,,,,,Suzy and Andy have devised a special machine that works just like fertilization in animals. Two things go into the special machine and a new thing comes out. They place the thing they performed the special procedure on and coal inside the machine.,inheritance,Will the new thing that comes out of the machine be magnetite or coal?,,There will be higher coal ratings on purpose changed.
