category,version_number,condition_description,items,item_original,item_new,appearance_type,whose_appearance,comp_condition,whose_comp,scenario_1,scenario_2,question,question_mask
non_living_natural_kinds,nl_3_lsoil_4,lightning_to_soil_app_new_comp_changed,lightning_to_soil,lightning,soil,new,soil,changed,soil,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into soil. After the special procedure, the thing looked like soil. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of minerals, water, air, and organic matter.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into soil. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of minerals, water, air, and organic matter. After the special procedure, the thing looked like soil.",Is the thing after the special operation lightning or soil?,The thing after the special operation is
non_living_natural_kinds,nl_4_cl_1,cloud_to_lightning_app_original_comp_preserved,cloud_to_lightning,cloud,lightning,original,cloud,preserved,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation cloud or lightning?,The thing after the special operation is
non_living_natural_kinds,nl_4_cl_2,cloud_to_lightning_app_original_comp_changed,cloud_to_lightning,cloud,lightning,original,cloud,changed,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation cloud or lightning?,The thing after the special operation is
non_living_natural_kinds,nl_4_cl_3,cloud_to_lightning_app_new_comp_preserved,cloud_to_lightning,cloud,lightning,new,lightning,preserved,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like lightning.",Is the thing after the special operation cloud or lightning?,The thing after the special operation is
non_living_natural_kinds,nl_4_cl_4,cloud_to_lightning_app_new_comp_changed,cloud_to_lightning,cloud,lightning,new,lightning,changed,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. ","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like lightning. ",Is the thing after the special operation cloud or lightning?,The thing after the special operation is
non_living_natural_kinds,nl_5_csun_1,cloud_to_sun_app_original_comp_preserved,cloud_to_sun,cloud,sun,original,cloud,preserved,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into a sun. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation a cloud or a sun?,The thing after the special operation is
non_living_natural_kinds,nl_5_csun_2,cloud_to_sun_app_original_comp_changed,cloud_to_sun,cloud,sun,original,cloud,changed,sun,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into a sun. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was made mostly of hydrogen and helium.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into a sun. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was made mostly of hydrogen and helium. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation a cloud or a sun?,The thing after the special operation is
non_living_natural_kinds,nl_5_csun_3,cloud_to_sun_app_new_comp_preserved,cloud_to_sun,cloud,sun,new,sun,preserved,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into a sun. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like a sun.",Is the thing after the special operation a cloud or a sun?,The thing after the special operation is
non_living_natural_kinds,nl_5_csun_4,cloud_to_sun_app_new_comp_changed,cloud_to_sun,cloud,sun,new,sun,changed,sun,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into a sun. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was made mostly of hydrogen and helium.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into a sun. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was made mostly of hydrogen and helium. After the special procedure, the thing looked like a sun.",Is the thing after the special operation a cloud or a sun?,The thing after the special operation is
non_living_natural_kinds,nl_6_csoil_1,cloud_to_soil_app_original_comp_preserved,cloud_to_soil,cloud,soil,original,cloud,preserved,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into soil. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure wasn't made of minerals, water, air, and organic matter. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into soil. After running some tests, they found that the thing after the special procedure wasn't made of minerals, water, air, and organic matter. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation a cloud or soil?,The thing after the special operation is
non_living_natural_kinds,nl_6_csoil_2,cloud_to_soil_app_original_comp_changed,cloud_to_soil,cloud,soil,original,cloud,changed,soil,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into soil. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of minerals, water, air, and organic matter.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into soil. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of minerals, water, air, and organic matter. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation a cloud or soil?,The thing after the special operation is
non_living_natural_kinds,nl_6_csoil_3,cloud_to_soil_app_new_comp_preserved,cloud_to_soil,cloud,soil,new,soil,preserved,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into soil. After the special procedure, the thing looked like soil. After running some tests, they found that the thing after the special procedure wasn't made of minerals, water, air, and organic matter. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into soil. After running some tests, they found that the thing after the special procedure wasn't made of minerals, water, air, and organic matter. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like soil.",Is the thing after the special operation a cloud or soil?,The thing after the special operation is
non_living_natural_kinds,nl_6_csoil_4,cloud_to_soil_app_new_comp_changed,cloud_to_soil,cloud,soil,new,soil,changed,soil,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into soil. After the special procedure, the thing looked like soil. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of minerals, water, air, and organic matter.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into soil. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of minerals, water, air, and organic matter. After the special procedure, the thing looked like soil.",Is the thing after the special operation a cloud or soil?,The thing after the special operation is
non_living_natural_kinds,nl_7_sunl_1,sun_to_lightning_app_original_comp_preserved,sun_to_lightning,sun,lightning,original,sun,preserved,sun,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a sun into lightning. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a sun into lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium. After the special procedure, the thing looked like a sun.",Is the thing after the special operation a sun or lightning?,The thing after the special operation is
non_living_natural_kinds,nl_7_sunl_2,sun_to_lightning_app_original_comp_changed,sun_to_lightning,sun,lightning,original,sun,changed,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a sun into lightning. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a sun into lightning. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like a sun.",Is the thing after the special operation a sun or lightning?,The thing after the special operation is
non_living_natural_kinds,nl_7_sunl_3,sun_to_lightning_app_new_comp_preserved,sun_to_lightning,sun,lightning,new,lightning,preserved,sun,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a sun into lightning. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a sun into lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium. After the special procedure, the thing looked like lightning.",Is the thing after the special operation a sun or lightning?,The thing after the special operation is
non_living_natural_kinds,nl_7_sunl_4,sun_to_lightning_app_new_comp_changed,sun_to_lightning,sun,lightning,new,lightning,changed,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a sun into lightning. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a sun into lightning. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like lightning.",Is the thing after the special operation a sun or lightning?,The thing after the special operation is
non_living_natural_kinds,nl_8_sunc_1,sun_to_cloud_app_original_comp_preserved,sun_to_cloud,sun,cloud,original,sun,preserved,sun,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a sun into a cloud. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was made mostly of hydrogen and helium.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a sun into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was made mostly of hydrogen and helium. After the special procedure, the thing looked like a sun.",Is the thing after the special operation a sun or cloud?,The thing after the special operation is
non_living_natural_kinds,nl_8_sunc_2,sun_to_cloud_app_original_comp_changed,sun_to_cloud,sun,cloud,original,sun,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a sun into a cloud. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a sun into a cloud. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like a sun.",Is the thing after the special operation a sun or cloud?,The thing after the special operation is
non_living_natural_kinds,nl_8_sunc_3,sun_to_cloud_app_new_comp_preserved,sun_to_cloud,sun,cloud,new,cloud,preserved,sun,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a sun into a cloud. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was made mostly of hydrogen and helium.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a sun into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was made mostly of hydrogen and helium. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation a sun or cloud?,The thing after the special operation is
non_living_natural_kinds,nl_8_sunc_4,sun_to_cloud_app_new_comp_changed,sun_to_cloud,sun,cloud,new,cloud,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a sun into a cloud. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a sun into a cloud. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation a sun or cloud?,The thing after the special operation is
non_living_natural_kinds,nl_9_sunsoil_1,sun_to_soil_app_original_comp_preserved,sun_to_soil,sun,soil,original,sun,preserved,sun,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a sun into soil. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure wasn't made of minerals, water, air, and organic matter. Instead, it was made mostly of hydrogen and helium.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a sun into soil. After running some tests, they found that the thing after the special procedure wasn't made of minerals, water, air, and organic matter. Instead, it was made mostly of hydrogen and helium. After the special procedure, the thing looked like a sun.",Is the thing after the special operation a sun or soil?,The thing after the special operation is
non_living_natural_kinds,nl_9_sunsoil_2,sun_to_soil_app_original_comp_changed,sun_to_soil,sun,soil,original,sun,changed,soil,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a sun into soil. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of minerals, water, air, and organic matter.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a sun into soil. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of minerals, water, air, and organic matter. After the special procedure, the thing looked like a sun.",Is the thing after the special operation a sun or soil?,The thing after the special operation is
non_living_natural_kinds,nl_9_sunsoil_3,sun_to_soil_app_new_comp_preserved,sun_to_soil,sun,soil,new,soil,preserved,sun,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a sun into soil. After the special procedure, the thing looked like soil. After running some tests, they found that the thing after the special procedure wasn't made of minerals, water, air, and organic matter. Instead, it was made mostly of hydrogen and helium.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a sun into soil. After running some tests, they found that the thing after the special procedure wasn't made of minerals, water, air, and organic matter. Instead, it was made mostly of hydrogen and helium. After the special procedure, the thing looked like soil.",Is the thing after the special operation a sun or soil?,The thing after the special operation is
non_living_natural_kinds,nl_9_sunsoil_4,sun_to_soil_app_new_comp_changed,sun_to_soil,sun,soil,new,soil,changed,soil,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a sun into soil. After the special procedure, the thing looked like soil. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of minerals, water, air, and organic matter.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a sun into soil. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of minerals, water, air, and organic matter. After the special procedure, the thing looked like soil.",Is the thing after the special operation a sun or soil?,The thing after the special operation is
non_living_natural_kinds,nl_10_soil_l_1,soil_to_lightning_app_original_comp_preserved,soil_to_lightning,soil,lightning,original,soil,preserved,soil,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn soil into lightning. After the special procedure, the thing looked like soil. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of minerals, water, air, and organic matter.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn soil into lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of minerals, water, air, and organic matter. After the special procedure, the thing looked like soil.",Is the thing after the special operation soil or lightning?,The thing after the special operation is
non_living_natural_kinds,nl_10_soil_l_2,soil_to_lightning_app_original_comp_changed,soil_to_lightning,soil,lightning,original,soil,changed,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn soil into lightning. After the special procedure, the thing looked like soil. After running some tests, they found that the thing after the special procedure wasn't made of minerals, water, air, and organic matter. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn soil into lightning. After running some tests, they found that the thing after the special procedure wasn't made of minerals, water, air, and organic matter. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like soil.",Is the thing after the special operation soil or lightning?,The thing after the special operation is
non_living_natural_kinds,nl_10_soil_l_3,soil_to_lightning_app_new_comp_preserved,soil_to_lightning,soil,lightning,new,lightning,preserved,soil,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn soil into lightning. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of minerals, water, air, and organic matter.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn soil into lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of minerals, water, air, and organic matter. After the special procedure, the thing looked like lightning.",Is the thing after the special operation soil or lightning?,The thing after the special operation is
non_living_natural_kinds,nl_10_soil_l_4,soil_to_lightning_app_new_comp_changed,soil_to_lightning,soil,lightning,new,lightning,changed,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn soil into lightning. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of minerals, water, air, and organic matter. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn soil into lightning. After running some tests, they found that the thing after the special procedure wasn't made of minerals, water, air, and organic matter. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like lightning.",Is the thing after the special operation soil or lightning?,The thing after the special operation is
non_living_natural_kinds,nl_11_soilc_1,soil_to_cloud_app_original_comp_preserved,soil_to_cloud,soil,cloud,original,soil,preserved,soil,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn soil into a cloud. After the special procedure, the thing looked like soil. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of minerals, water, air, and organic matter.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn soil into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of minerals, water, air, and organic matter. After the special procedure, the thing looked like soil.",Is the thing after the special operation soil or a cloud?,The thing after the special operation is
non_living_natural_kinds,nl_11_soilc_2,soil_to_cloud_app_original_comp_changed,soil_to_cloud,soil,cloud,original,soil,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn soil into a cloud. After the special procedure, the thing looked like soil. After running some tests, they found that the thing after the special procedure wasn't made of minerals, water, air, and organic matter. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn soil into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of minerals, water, air, and organic matter. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like soil.",Is the thing after the special operation soil or a cloud?,The thing after the special operation is
